"","Trait","Class","Order","Family","Genus","Residuals"
"1","Diel_activity","0.373482766153263","0.440584940691935","0.0919407652802261","0.0338809152762431","0.0601106125983333"
"2","Habitat_breadth_IUCN","0.295103955830875","0.130927999092779","0.0621264209004438","0.0979566146159815","0.41388500955992"
"3","Forest","0.126089070316653","0.212776865633565","0.215224174042525","0.146924907289729","0.298984982717529"
"4","Savanna","0.0978792497008033","0.333863053034682","0.344903183884786","0.109664661028442","0.113689852351286"
"5","Shrubland","0.253039154173162","0.232766383472253","0.0533163536792684","0.133671466086384","0.327206642588933"
"6","Grassland","0.041975821324554","0.199515605510659","0.254171149828154","0.0953838438937103","0.408953579442923"
"7","Wetland","0.355382570933736","0.291538102884999","0.0875955323902178","0.112017170044174","0.153466623746874"
"8","Rocky.areas","0.141224811733301","0.141770340332714","0.130838651729044","0.257501992768593","0.328664203436348"
"9","Caves.and.subterranean","0.0915738366529516","0.537480203467399","0.0365136432546203","0.234332069163853","0.100100247461176"
"10","Desert","0.192043333125055","0.0560847039428408","0.130539350591944","0.317148102896714","0.304184509443446"
"11","Marine","0.173935598232044","0.561141633739302","0.107721530444621","0.0873070931960533","0.0698941443879796"
"12","Marine.intertidal.or.coastal.supratidal","0.338378446964444","0.264685992645086","0.103770698205362","0.0624187151163163","0.230746147068791"
"13","Artificial","0.189461903530793","0.122428958348384","0.13247026228397","0.163128437231354","0.392510438605499"
"14","Introduced.vegetation","0.749478736932471","0.0481666339237711","0.0868592152453466","0.0128284676056295","0.102666946292782"
"15","logBM","0.354731615451408","0.430443246824248","0.136430144814843","0.0544068446905047","0.0239881482189969"
"16","logLongevity","0.169212796814009","0.372891600906284","0.155097317980143","0.103190725066748","0.199607559232815"
"17","logClutchSize","0.887261823427798","0.0423349051052942","0.0387135789034857","0.0120029551358141","0.019686737427608"
"18","Herbivore","0.0696729876662067","0.685534321290393","0.181238453139762","0.037699014672941","0.0258552232306978"
"19","Omnivore","0.378225330506553","0.222809201448778","0.223989266039384","0.0699348073927767","0.105041394612508"
