"","metric","empirical","FW"
"1","connectance",0.201814058956916,"Arctic"
"2","meanTL",1.40029761904762,"Arctic"
"3","maxTL",2.19196428571429,"Arctic"
"4","motif1",450,"Arctic"
"5","motif2",0,"Arctic"
"6","motif3",0,"Arctic"
"7","motif4",193,"Arctic"
"8","motif5",52,"Arctic"
"9","motif6",0,"Arctic"
"10","motif7",0,"Arctic"
"11","motif8",0,"Arctic"
"12","motif9",0,"Arctic"
"13","motif10",0,"Arctic"
"14","motif11",0,"Arctic"
"15","motif12",0,"Arctic"
"16","motif13",0,"Arctic"
"17","diameter",1,"Arctic"
"18","cohesion",0,"Arctic"
"19","n_cluster",2,"Arctic"
"20","modularity",0.126941042797627,"Arctic"
"21","connectance",0.0216316118284048,"Pyrenees"
"22","meanTL",1.254254139088,"Pyrenees"
"23","maxTL",2.51061627692294,"Pyrenees"
"24","motif1",15707,"Pyrenees"
"25","motif2",1399,"Pyrenees"
"26","motif3",0,"Pyrenees"
"27","motif4",2032,"Pyrenees"
"28","motif5",582,"Pyrenees"
"29","motif6",0,"Pyrenees"
"30","motif7",0,"Pyrenees"
"31","motif8",0,"Pyrenees"
"32","motif9",0,"Pyrenees"
"33","motif10",0,"Pyrenees"
"34","motif11",0,"Pyrenees"
"35","motif12",0,"Pyrenees"
"36","motif13",0,"Pyrenees"
"37","diameter",4,"Pyrenees"
"38","cohesion",0,"Pyrenees"
"39","n_cluster",6,"Pyrenees"
"40","modularity",0.308308389845358,"Pyrenees"
"41","connectance",0.124296202873744,"Serengeti"
"42","meanTL",7.03262576959841,"Serengeti"
"43","maxTL",30.0000000000001,"Serengeti"
"44","motif1",344628,"Serengeti"
"45","motif2",45549,"Serengeti"
"46","motif3",3888,"Serengeti"
"47","motif4",209440,"Serengeti"
"48","motif5",106395,"Serengeti"
"49","motif6",10669,"Serengeti"
"50","motif7",504,"Serengeti"
"51","motif8",0,"Serengeti"
"52","motif9",0,"Serengeti"
"53","motif10",0,"Serengeti"
"54","motif11",36668,"Serengeti"
"55","motif12",0,"Serengeti"
"56","motif13",4335,"Serengeti"
"57","diameter",4,"Serengeti"
"58","cohesion",0,"Serengeti"
"59","n_cluster",5.7,"Serengeti"
"60","modularity",0.225476526740006,"Serengeti"
"61","connectance",0.0460347576530612,"Europe"
"62","meanTL",1.24061290678904,"Europe"
"63","maxTL",2.83279755198818,"Europe"
"64","motif1",9958272,"Europe"
"65","motif2",347226,"Europe"
"66","motif3",3261,"Europe"
"67","motif4",2022324,"Europe"
"68","motif5",571437,"Europe"
"69","motif6",5482,"Europe"
"70","motif7",408,"Europe"
"71","motif8",6,"Europe"
"72","motif9",7,"Europe"
"73","motif10",23,"Europe"
"74","motif11",280,"Europe"
"75","motif12",3,"Europe"
"76","motif13",7,"Europe"
"77","diameter",6,"Europe"
"78","cohesion",0,"Europe"
"79","n_cluster",5.8,"Europe"
"80","modularity",0.218792797023006,"Europe"
