"","Species","Trophic_level","Diel_activity","Habitat_breadth_IUCN","Artificial_habitat_use","Forest","Savanna","Shrubland","Grassland","Wetland","Rocky.areas","Caves.and.subterranean","Desert","Marine","Marine.intertidal.or.coastal.supratidal","Artificial","Introduced.vegetation","Other.Unknown","Class","Order","Family","Genus","Body_length_mm","Body_mass_g","Maturity_d","Max_longevity_d","Litter_clutch_size","Adult_svl_cm","Longevity_d","Generation_length_d"
"1","Ablepharus bivittatus","Carnivore","Other","4","FALSE","1","0","1","1","0","0","0","0","0","0","0","0","0","Reptilia","Squamata","Scincidae","Ablepharus",NA,4.38257916120083,NA,NA,4.00036851046125,NA,NA,NA
"2","Ablepharus budaki","Carnivore","Other","3","TRUE","1","0","1","0","0","0","0","0","0","0","1","0","0","Reptilia","Squamata","Scincidae","Ablepharus",NA,2,NA,NA,3.5,3.942,NA,NA
"3","Ablepharus chernovi","Carnivore","Other","3","FALSE","1","0","1","1","0","0","0","0","0","0","0","0","0","Reptilia","Squamata","Scincidae","Ablepharus",NA,2.9,NA,NA,3.50012877079217,3.942,NA,NA
"4","Ablepharus kitaibelii","Carnivore","Other","4","TRUE","1","0","1","1","0","0","0","0","0","0","1","0","0","Reptilia","Squamata","Scincidae","Ablepharus",NA,2.445,182.64,1278.375,3.75,3.942,NA,NA
"5","Ablepharus pannonicus","Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reptilia","Squamata","Scincidae","Ablepharus",NA,3.11303968356198,334.84,NA,4.00018425523063,NA,NA,NA
"6","Acanthis flammea",NA,"Other","10","TRUE","1","0","1","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Fringillidae","Acanthis",NA,12.375,364.617,9131.25,5,NA,3897.2175,1651.43105396775
"7","Acanthis hornemanni","Herbivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aves","Passeriformes","Fringillidae","Acanthis",NA,14.3,365,2483.7,4.5,NA,1680.15,1526.3397427065
"8","Acanthodactylus boskianus","Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reptilia","Squamata","Lacertidae","Acanthodactylus",NA,13.95,273.96,1935.825,4.5,6.046,584.4,NA
"9","Acanthodactylus erythrurus","Carnivore","Other","4","FALSE","1","0","1","0","0","1","0","0","0","0","1","0","0","Reptilia","Squamata","Lacertidae","Acanthodactylus",NA,13.6886441279792,426.16,767.025,3.85,7.149,NA,NA
"10","Acanthodactylus grandis","Carnivore","Other","2","FALSE","0","0","1","0","0","0","0","1","0","0","0","0","0","Reptilia","Squamata","Lacertidae","Acanthodactylus",NA,24.9229736347148,NA,NA,NA,NA,NA,NA
"11","Acanthodactylus harranensis",NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reptilia","Squamata","Lacertidae","Acanthodactylus",NA,19.521697278877,NA,NA,NA,NA,NA,NA
"12","Acanthodactylus schreiberi","Carnivore","Other","2","FALSE","0","0","0","0","0","0","0","0","0","0","1","0","0","Reptilia","Squamata","Lacertidae","Acanthodactylus",NA,18.275,NA,1369.6875,2.80027059501064,7.023,584.4,NA
"13","Accipiter brevipes",NA,"Other","9","TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Aves","Accipitriformes","Accipitridae","Accipiter",NA,187.5,363.468,NA,4,33.5,NA,2620.8762784755
"14","Accipiter gentilis","Carnivore","Other","5","TRUE","1","0","0","1","0","0","0","0","0","0","1","0","0","Aves","Accipitriformes","Accipitridae","Accipiter",NA,943.7675170898,683.4175,8035.5,3.5,54.5,6467.9687487825,2558.3756393595
"15","Accipiter nisus","Carnivore","Other","19","TRUE","1","1","1","0","0","0","0","0","0","0","1","0","0","Aves","Accipitriformes","Accipitridae","Accipiter",NA,220.79,365,7396.3125,4.75,34,6534.9312512175,2620.8762784755
"16","Acomys cilicicus","Omnivore","Nocturnal","1",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","Mammalia","Rodentia","Muridae","Acomys",NA,38.305,NA,1460.5,NA,17.5,1459.47812487825,650.0125
"17","Acomys minous","Herbivore","Nocturnal","2","FALSE","0","0","1","0","0","1","0","0","0","0","0","0","0","Mammalia","Rodentia","Muridae","Acomys",NA,53.85,58.5,2733.28749987825,2.47,17.5,1826.25,650.0125
"18","Acomys nesiotes","Omnivore","Nocturnal","1","FALSE","0","0","0","0","0","1","0","0","0","0","0","0","0","Mammalia","Rodentia","Muridae","Acomys",NA,36.66833977,58.5,2733.28749987825,2.47,17.5,1990.6125,650.0125
"19","Acrocephalus agricola","Carnivore","Other","8","TRUE","0","0","0","0","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Acrocephalidae","Acrocephalus",NA,9.575,NA,NA,4.5,NA,NA,1621.20810814875
"20","Acrocephalus arundinaceus","Carnivore","Other","28","TRUE","0","1","1","1","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Acrocephalidae","Acrocephalus",NA,30,364.617,3682.9374987825,4.2,NA,3652.5,1544.7740694555
"21","Acrocephalus dumetorum","Carnivore","Other","10","TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Acrocephalidae","Acrocephalus",NA,11.525,NA,2848.95,4.2,NA,2830.6875,1621.20810814875
"22","Acrocephalus melanopogon","Carnivore","Other","4","FALSE","0","0","0","0","1","0","0","0","0","0","0","0","0","Aves","Passeriformes","Acrocephalidae","Acrocephalus",NA,10.95,365,4109.0625,4,NA,3579.45,1621.20810814875
"23","Acrocephalus paludicola","Carnivore","Other","4","TRUE","0","0","0","0","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Acrocephalidae","Acrocephalus",NA,12.05,NA,NA,4.935,NA,NA,1621.20810814875
"24","Acrocephalus palustris","Carnivore","Other","11","TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Acrocephalidae","Acrocephalus",NA,12,364.617,3579.45,4.41,NA,3287.18912487825,1621.20810814875
"25","Acrocephalus schoenobaenus","Carnivore","Other","14","TRUE","0","1","0","1","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Acrocephalidae","Acrocephalus",NA,11.9,364.617,4322.1249987825,5.5,NA,3685.920375,1328.8558774275
"26","Acrocephalus scirpaceus","Carnivore","Other","12","FALSE","0","1","1","1","1","0","0","0","0","0","0","0","0","Aves","Passeriformes","Acrocephalidae","Acrocephalus",NA,12.3,364.617,5113.5,3.9,NA,4547.3625,1557.763045395
"27","Actitis hypoleucos","Carnivore","Other","21","TRUE","1","0","0","1","1","0","0","0","1","1","1","0","0","Aves","Charadriiformes","Scolopacidae","Actitis",NA,56.125,365.125,5296.125,4,NA,5296.125,2488.265625
"28","Aegithalos caudatus","Carnivore","Other","34","TRUE","1","0","1","0","1","0","0","0","0","0","1","0","0","Aves","Passeriformes","Aegithalidae","Aegithalos",NA,8.275,365,4054.275,9.9,NA,3944.7,1520.60493017625
"29","Aegolius funereus","Carnivore","Nocturnal","6","FALSE","1","0","0","0","0","0","0","0","0","0","0","0","0","Aves","Strigiformes","Strigidae","Aegolius",NA,137.18,364.617,5807.475,5.145,21,4017.75,2119.41846585375
"30","Aegypius monachus","Carnivore","Other","8","FALSE","1","0","1","1","0","0","0","0","0","0","0","0","0","Aves","Accipitriformes","Accipitridae","Aegypius",NA,9472.775,1999.074,14244.75,1,110,11779.3125,6483.1875
"31","Alauda arvensis",NA,"Other","42","TRUE","0","0","1","1","1","0","0","0","0","1","1","0","0","Aves","Passeriformes","Alaudidae","Alauda",NA,37.405,364.617,3689.025,3.43,NA,3652.5,1638.08845375313
"32","Alca torda","Carnivore","Other","19","FALSE","0","0","0","0","0","0","0","0","1","1","0","0","0","Aves","Charadriiformes","Alcidae","Alca",NA,720,1458.468,15340.5,1,NA,6574.5,4964.0795451225
"33","Alcedo atthis","Carnivore","Other","24","TRUE","1","0","0","1","1","0","0","0","1","1","1","0","0","Aves","Coraciiformes","Alcedinidae","Alcedo",NA,31.25,365,7670.25,6.5,NA,7670.25,1589.37574080075
"34","Alces alces","Herbivore","Nocturnal","5","FALSE","1","0","0","0","1","0","0","0","0","0","1","0","0","Mammalia","Artiodactyla","Cervidae","Alces",NA,409449.46,689.89684,9861.75,1.27,301.5235,9861.75,3721.7786
"35","Alectoris barbara","Herbivore","Other","4","TRUE","1","0","1","0","0","0","0","0","0","0","1","0","0","Aves","Galliformes","Phasianidae","Alectoris",NA,417.415,363.468,NA,12,34,NA,1423.033223838
"36","Alectoris chukar","Herbivore","Other","2","FALSE","0","0","1","1","0","0","0","0","0","0","0","0","0","Aves","Galliformes","Phasianidae","Alectoris",NA,503.5,363.468,2264.55,11.25,34,2264.55,1423.033223838
"37","Alectoris graeca","Herbivore","Other","2","FALSE","1","0","1","0","0","0","0","0","0","0","0","0","0","Aves","Galliformes","Phasianidae","Alectoris",NA,597.5,363.468,NA,11,33.5,NA,1423.033223838
"38","Alectoris rufa","Herbivore","Other","5","TRUE","0","0","1","1","0","1","0","0","0","0","1","0","0","Aves","Galliformes","Phasianidae","Alectoris",NA,527.86,363.468,2282.8125,12,36.5,2273.68125,1423.033223838
"39","Algyroides fitzingeri","Carnivore","Other","8","TRUE","1","0","1","1","0","1","0","0","0","0","1","0","0","Reptilia","Squamata","Lacertidae","Algyroides",NA,2.18385205240985,NA,NA,2.5,NA,NA,NA
"40","Algyroides marchi","Carnivore","Other","3","FALSE","1","0","0","0","1","1","0","0","0","0","0","0","0","Reptilia","Squamata","Lacertidae","Algyroides",NA,3.50375936976284,NA,NA,2.49988485108925,4.505,NA,NA
"41","Algyroides moreoticus","Carnivore","Other","3","FALSE","1","0","1","0","0","0","0","0","0","0","1","0","0","Reptilia","Squamata","Lacertidae","Algyroides",NA,2.715,365.28,3360.3,3.9,4.5235,NA,NA
"42","Algyroides nigropunctatus","Carnivore","Other","8","TRUE","1","0","1","0","0","1","0","0","0","0","1","0","0","Reptilia","Squamata","Lacertidae","Algyroides",NA,4.81828952,NA,840.075,4.25,5.44,NA,NA
"43","Allactaga elater","Omnivore","Nocturnal","2","FALSE","0","0","1","0","0","0","0","1","0","0","0","0","0","Mammalia","Rodentia","Dipodidae","Allactaga",NA,58.85,123.61,1898.65,4.485,NA,1891.69062512175,625.1262
"44","Allactaga euphratica","Herbivore","Nocturnal","3","FALSE","0","0","1","1","0","0","0","0","0","0","1","0","0","Mammalia","Rodentia","Dipodidae","Allactaga",NA,232,NA,1534.05,4.995,NA,1534.05,625.1262
"45","Allactaga major","Herbivore","Nocturnal","4","TRUE","0","0","1","1","0","0","0","1","0","0","1","0","0","Mammalia","Rodentia","Dipodidae","Allactaga",NA,350,377.57,2659.36250006087,3.6175,26.3,2660.23749987825,625.1262
