"","metric","predicted","targetFW","sourceFW"
"1","connectance",0.17511875,"Arctic","Arctic"
"2","meanTL",2.33274838316476,"Arctic","Arctic"
"3","maxTL",4.93283274314503,"Arctic","Arctic"
"4","motif1",27365.44,"Arctic","Arctic"
"5","motif2",57025.97,"Arctic","Arctic"
"6","motif3",241.93,"Arctic","Arctic"
"7","motif4",15581.95,"Arctic","Arctic"
"8","motif5",265871.02,"Arctic","Arctic"
"9","motif6",33353.51,"Arctic","Arctic"
"10","motif7",2395.35,"Arctic","Arctic"
"11","motif8",26313.71,"Arctic","Arctic"
"12","motif9",1739.43,"Arctic","Arctic"
"13","motif10",1552.09,"Arctic","Arctic"
"14","motif11",1123.7,"Arctic","Arctic"
"15","motif12",3599.56,"Arctic","Arctic"
"16","motif13",783.08,"Arctic","Arctic"
"17","diameter",6.65,"Arctic","Arctic"
"18","n_clusters",3.9,"Arctic","Arctic"
"19","modularity",0.104880268799168,"Arctic","Arctic"
"20","connectance",0.277998144760236,"Pyrenees","Arctic"
"21","meanTL",4.26610208075744,"Pyrenees","Arctic"
"22","maxTL",7.02184281735454,"Pyrenees","Arctic"
"23","motif1",37077.77,"Pyrenees","Arctic"
"24","motif2",109428.74,"Pyrenees","Arctic"
"25","motif3",713.83,"Pyrenees","Arctic"
"26","motif4",22682.75,"Pyrenees","Arctic"
"27","motif5",311728.23,"Pyrenees","Arctic"
"28","motif6",85581.27,"Pyrenees","Arctic"
"29","motif7",8372.4,"Pyrenees","Arctic"
"30","motif8",54432.06,"Pyrenees","Arctic"
"31","motif9",4858.02,"Pyrenees","Arctic"
"32","motif10",6401.99,"Pyrenees","Arctic"
"33","motif11",6716.36,"Pyrenees","Arctic"
"34","motif12",18354.05,"Pyrenees","Arctic"
"35","motif13",4024.78,"Pyrenees","Arctic"
"36","diameter",5.06,"Pyrenees","Arctic"
"37","n_clusters",3.63,"Pyrenees","Arctic"
"38","modularity",0.0843685786928928,"Pyrenees","Arctic"
"39","connectance",0.240119376039596,"Serengeti","Arctic"
"40","meanTL",4.34197116755782,"Serengeti","Arctic"
"41","maxTL",7.23584256163838,"Serengeti","Arctic"
"42","motif1",136523.16,"Serengeti","Arctic"
"43","motif2",307634.05,"Serengeti","Arctic"
"44","motif3",3022.91,"Serengeti","Arctic"
"45","motif4",81808.59,"Serengeti","Arctic"
"46","motif5",1042243.66,"Serengeti","Arctic"
"47","motif6",265299.44,"Serengeti","Arctic"
