"","metric","predicted","targetFW","sourceFW"
"1","connectance",0.33267825648778,"Serengeti2","Arctic"
"2","meanTL",2.91755760112956,"Serengeti2","Arctic"
"3","maxTL",4.85498019907934,"Serengeti2","Arctic"
"4","motif1",1188.91,"Serengeti2","Arctic"
"5","motif2",3447.52,"Serengeti2","Arctic"
"6","motif3",30.42,"Serengeti2","Arctic"
"7","motif4",641.43,"Serengeti2","Arctic"
"8","motif5",8487.7,"Serengeti2","Arctic"
"9","motif6",3864.24,"Serengeti2","Arctic"
"10","motif7",435.31,"Serengeti2","Arctic"
"11","motif8",2632.87,"Serengeti2","Arctic"
"12","motif9",220.29,"Serengeti2","Arctic"
"13","motif10",321.71,"Serengeti2","Arctic"
"14","motif11",571.62,"Serengeti2","Arctic"
"15","motif12",1154.22,"Serengeti2","Arctic"
"16","motif13",185.39,"Serengeti2","Arctic"
"17","diameter",3.98,"Serengeti2","Arctic"
"18","n_clusters",2.87,"Serengeti2","Arctic"
"19","modularity",0.137079835236222,"Serengeti2","Arctic"
"20","connectance",0.234168056863166,"Serengeti2","Pyrenees"
"21","meanTL",2.41778294487627,"Serengeti2","Pyrenees"
"22","maxTL",4.3156494587221,"Serengeti2","Pyrenees"
"23","motif1",1260.59,"Serengeti2","Pyrenees"
"24","motif2",2374.35,"Serengeti2","Pyrenees"
"25","motif3",34.23,"Serengeti2","Pyrenees"
"26","motif4",1209.81,"Serengeti2","Pyrenees"
"27","motif5",6996.07,"Serengeti2","Pyrenees"
"28","motif6",1643.33,"Serengeti2","Pyrenees"
"29","motif7",171.55,"Serengeti2","Pyrenees"
"30","motif8",1623.67,"Serengeti2","Pyrenees"
"31","motif9",236.13,"Serengeti2","Pyrenees"
"32","motif10",196.62,"Serengeti2","Pyrenees"
"33","motif11",134.36,"Serengeti2","Pyrenees"
"34","motif12",400.99,"Serengeti2","Pyrenees"
"35","motif13",144.19,"Serengeti2","Pyrenees"
"36","diameter",4.33,"Serengeti2","Pyrenees"
"37","n_clusters",3.62,"Serengeti2","Pyrenees"
"38","modularity",0.118098875028805,"Serengeti2","Pyrenees"
"39","connectance",0.356532177899548,"Arctic","Serengeti2"
"40","meanTL",34.1084502313262,"Arctic","Serengeti2"
"41","maxTL",37.0820535922018,"Arctic","Serengeti2"
"42","motif1",42740.4,"Arctic","Serengeti2"
"43","motif2",149618.12,"Arctic","Serengeti2"
"44","motif3",2023.07,"Arctic","Serengeti2"
"45","motif4",75072.11,"Arctic","Serengeti2"
"46","motif5",198040.83,"Arctic","Serengeti2"
"47","motif6",66950.18,"Arctic","Serengeti2"
"48","motif7",66556.84,"Arctic","Serengeti2"
"49","motif8",54574.93,"Arctic","Serengeti2"
"50","motif9",30911.07,"Arctic","Serengeti2"
"51","motif10",15515.92,"Arctic","Serengeti2"
"52","motif11",35853.4,"Arctic","Serengeti2"
"53","motif12",49124.68,"Arctic","Serengeti2"
"54","motif13",14029.77,"Arctic","Serengeti2"
"55","diameter",4.18,"Arctic","Serengeti2"
"56","n_clusters",3.41,"Arctic","Serengeti2"
"57","modularity",0.117554548200611,"Arctic","Serengeti2"
"58","connectance",0.391320054626504,"Pyrenees","Serengeti2"
"59","meanTL",30.9143412556019,"Pyrenees","Serengeti2"
"60","maxTL",33.4332536981565,"Pyrenees","Serengeti2"
"61","motif1",38613.9,"Pyrenees","Serengeti2"
"62","motif2",170555.69,"Pyrenees","Serengeti2"
"63","motif3",1847.36,"Pyrenees","Serengeti2"
"64","motif4",54612.83,"Pyrenees","Serengeti2"
"65","motif5",223894.79,"Pyrenees","Serengeti2"
"66","motif6",99128.41,"Pyrenees","Serengeti2"
"67","motif7",52080.5,"Pyrenees","Serengeti2"
"68","motif8",63836.85,"Pyrenees","Serengeti2"
"69","motif9",23947.78,"Pyrenees","Serengeti2"
"70","motif10",18090.26,"Pyrenees","Serengeti2"
"71","motif11",31814.67,"Pyrenees","Serengeti2"
