"","Species","Trophic_level","Diel_activity","Habitat_breadth_IUCN","Artificial_habitat_use","Forest","Savanna","Shrubland","Grassland","Wetland","Rocky.areas","Caves.and.subterranean","Desert","Marine","Marine.intertidal.or.coastal.supratidal","Artificial","Introduced.vegetation","Other.Unknown","Class","Order","Family","Genus","Body_length_mm","Body_mass_g","Maturity_d","Max_longevity_d","Litter_clutch_size","Adult_svl_cm","Longevity_d","Generation_length_d"
"1","Acanthocercus atricollis","Carnivore","Other","2","FALSE","0","1","0","0","0","0","0","0","0","0","0","0","0","Reptilia","Squamata","Agamidae","Acanthocercus",NA,81.495,365.25,3689.025,11.36,13.262,2191.5,NA
"2","Acinonyx jubatus","Carnivore","Other","6","FALSE","0","1","1","1","0","0","0","1","0","0","0","0","0","Mammalia","Carnivora","Felidae","Acinonyx",NA,48638.96,634.73125,7117.5,3.16,149.0215,6939.75,2190
"3","Acomys wilsoni","Carnivore","Nocturnal","3","FALSE","0","1","1","0","0","1","0","0","0","0","0","0","0","Mammalia","Rodentia","Muridae","Acomys",NA,19.73,NA,2044.7,2.29,12.738,2040.834375,650.0125
"4","Aepyceros melampus","Herbivore","Other","3","FALSE","0","1","1","1","0","0","0","0","0","0","0","0","0","Mammalia","Artiodactyla","Bovidae","Aepyceros",NA,52500.08,467.60625,7433.8333333,0.99,146,6483.1875,2674.111667
"5","Aethomys chrysophilus","Herbivore","Nocturnal","6","TRUE","1","1","0","0","0","0","0","0","0","0","1","0","0","Mammalia","Rodentia","Muridae","Aethomys",NA,79.7,100.72343,273.9375,3.2175,16.276,273.9375,624.3996409
"6","Aethomys kaiseri","Herbivore","Nocturnal","4","FALSE","1","1","0","0","0","0","0","0","0","0","0","0","0","Mammalia","Rodentia","Muridae","Aethomys",NA,90,96.05,1001.39375012175,2.95,16.276,637.66562487825,624.3996409
"7","Afrixalus quadrivittatus",NA,"Nocturnal","11","TRUE","0","1","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Hyperoliidae","Afrixalus",32.5,NA,NA,NA,50,NA,NA,NA
"8","Afrixalus stuhlmanni",NA,NA,"12","TRUE","0","1","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Hyperoliidae","Afrixalus",30,NA,NA,NA,NA,NA,NA,NA
"9","Afronycteris nanus","Carnivore","Nocturnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mammalia","Chiroptera","Vespertilionidae","Afronycteris",NA,4.906875,NA,NA,1.86,NA,NA,1885.946275
"10","Afrotyphlops lineolatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reptilia","Squamata","Typhlopidae","Afrotyphlops",NA,224.388192378277,NA,NA,NA,NA,NA,NA
"11","Agama mwanzae","Omnivore","Other","5","TRUE","0","1","0","1","0","1","0","0","0","0","1","0","0","Reptilia","Squamata","Agamidae","Agama",NA,87.325,547.905,1661.8875,7.5,11.925,474.825,NA
"12","Agapornis fischeri","Herbivore","Other","3","TRUE","1","1","0","0","0","0","0","0","0","0","1","0","0","Aves","Psittaciformes","Psittacidae","Agapornis",NA,49.15,NA,4602.15,5.5,15,4602.15,1844.5125
"13","Alcelaphus buselaphus","Herbivore","Other","9","FALSE","1","1","1","1","0","0","0","0","0","0","1","0","0","Mammalia","Artiodactyla","Bovidae","Alcelaphus",NA,160937.88,663.145,7454.88333335,0.99,212.12475,4183.63437493913,2863.875333
"14","Alopochen aegyptiaca","Herbivore","Other","4","FALSE","0","0","0","1","1","0","0","0","0","0","0","0","0","Aves","Anseriformes","Anatidae","Alopochen",NA,1873,730,9313.875,8.484375,72,9313.875,2836.65549324375
"15","Amaurornis flavirostra",NA,"Other","11","TRUE","0","0","0","1","1","0","0","0","0","1","1","0","0","Aves","Gruiformes","Rallidae","Amaurornis",NA,90.1,NA,NA,3,NA,NA,1333.162
"16","Amnirana galamensis",NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Amphibia","Anura","Ranidae","Amnirana",80.5,NA,NA,NA,3317.5,NA,NA,NA
"17","Anaplectes rubriceps",NA,NA,"3","TRUE","1","1","0","0","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Ploceidae","Anaplectes",NA,22.6000003815,NA,NA,2.5,NA,NA,1315.206932724
"18","Anas capensis",NA,"Other","8","TRUE","0","0","0","0","1","0","0","0","1","1","1","0","0","Aves","Anseriformes","Anatidae","Anas",NA,403.3333333,NA,NA,8.401114206,46,NA,2400.535241325
"19","Anthus richardi","Carnivore","Other","18","TRUE","0","0","0","1","0","0","0","0","0","0","1","0","0","Aves","Passeriformes","Motacillidae","Anthus",NA,32.17,363.468,1978.43750012175,3.5,NA,1978.43750012175,1353.0029362485
"20","Aonyx capensis","Carnivore","Other","24","TRUE","1","0","0","1","1","0","0","0","1","1","1","0","0","Mammalia","Carnivora","Mustelidae","Aonyx",NA,21561.21,368.92275,5852.16666665,2.59,90.76,5113.5,1988.4717585
"21","Apalis flavida","Carnivore","Other","18","FALSE","1","1","1","0","0","0","0","0","0","0","0","0","0","Aves","Passeriformes","Cisticolidae","Apalis",NA,8.19,NA,NA,2.65,NA,NA,1826.25
"22","Apus affinis","Carnivore","Other","12","FALSE","1","1","1","1","0","0","0","0","0","0","0","0","0","Aves","Apodiformes","Apodidae","Apus",NA,23.6000003815,NA,NA,2.4,12,NA,4565.625
"23","Aquila rapax","Carnivore","Other","7","TRUE","1","1","1","1","0","0","0","0","0","0","1","0","0","Aves","Accipitriformes","Accipitridae","Aquila",NA,2347,1453.872,15523.125,2,66,14719.575,6046.91666829
"24","Aquila spilogaster","Carnivore","Other","7","TRUE","1","1","1","1","0","0","0","0","0","0","1","0","0","Aves","Accipitriformes","Accipitridae","Aquila",NA,1466.17,1453.872,NA,2,58.5,NA,6574.5
"25","Ardea cinerea","Carnivore","Other","44","TRUE","1","0","0","1","1","0","0","0","1","1","1","0","0","Aves","Pelecaniformes","Ardeidae","Ardea",NA,1494.75,730,13696.875,4.305,94,11048.7516237825,3743.8125
"26","Ardeotis kori",NA,"Other","7","FALSE","1","1","1","1","0","0","0","1","0","0","1","0","0","Aves","Otidiformes","Otididae","Ardeotis",NA,8458.0437011719,1095.75,9496.5,1.75,NA,9496.5,5691.8124987825
"27","Arvicanthis niloticus","Herbivore","Nocturnal","10","TRUE","0","1","1","1","0","0","0","0","0","0","1","0","0","Mammalia","Rodentia","Muridae","Arvicanthis",NA,101.35,50.1675,2446.3375,4.93,20.4,2438.04375,751.795
"28","Asio capensis",NA,"Nocturnal","16","TRUE","0","1","0","1","1","0","0","0","0","1","1","0","0","Aves","Strigiformes","Strigidae","Asio",NA,328.3333333,NA,NA,2.75,34.3,NA,2628.5775907965
"29","Atelerix albiventris","Omnivore","Nocturnal","4","TRUE","0","1","0","1","0","0","0","0","0","0","1","0","0","Mammalia","Erinaceomorpha","Erinaceidae","Atelerix",NA,450,100.30193,4162.425,4.235,23,4162.3281237825,1335.15805
"30","Atilax paludinosus","Omnivore","Other","10","TRUE","1","0","0","1","1","0","0","0","1","1","1","0","0","Mammalia","Carnivora","Herpestidae","Atilax",NA,3300,239.8725,6768.7222226,2,55.9505,6650.5937487825,2228.517895
"31","Balearica regulorum",NA,"Other","13","TRUE","1","1","0","1","1","0","0","0","0","0","1","0","0","Aves","Gruiformes","Gruidae","Balearica",NA,3636,1453.872,7670.25,2.5,NA,6209.25,5509.1874987825
"32","Bitis arietans","Carnivore","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reptilia","Squamata","Viperidae","Bitis",NA,2381,NA,5643.1125,95.5,NA,5770.95,NA
"33","Boaedon mendesi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reptilia","Squamata","Lamprophiidae","Boaedon",NA,NA,NA,NA,NA,NA,NA,NA
"34","Bos taurus","Herbivore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mammalia","Artiodactyla","Bovidae","Bos",NA,759321.21,605.8875,7305.3,1,310,7305,NA
