"","role","sourceFW","estimate_(Intercept)_Serengeti","std.error_(Intercept)_Serengeti","estimate_(Intercept)_Pyrenees","std.error_(Intercept)_Pyrenees","insample","estimate_empirical_Euro","estimate_(Intercept)_Arctic","std.error_(Intercept)_Arctic","estimate_empirical_Serengeti","std.error_empirical_Serengeti","estimate_empirical_Pyrenees","std.error_empirical_Pyrenees","estimate_(Intercept)_Euro","std.error_(Intercept)_Euro","estimate_empirical_Arctic","std.error_empirical_Arctic","r.squared_Serengeti","r.squared_Pyrenees","std.error_empirical_Euro","r.squared_Arctic"
"1","OI","Arctic",NA,NA,NA,NA,"within food web",NA,0.595025627543696,0.038723764029091,NA,NA,NA,NA,NA,NA,3.52316742468572,0.458600174028166,NA,NA,NA,0.236060669998698
"2","OI","Arctic",2.27918608550873,0.0735250605796469,2.74004944636904,0.102407402365291,"between food webs",104.784393678005,NA,NA,2.47409090172289,0.313559216609773,6.51425251562307,1.87185169921556,36.605312111714,0.999537715059938,NA,NA,0.173778797436915,0.0587604025289493,26.1436885162259,NA
"3","OI","Euro",0.172577118299147,0.0174324030022681,0.74053392589579,0.0410436921771207,"between food webs",NA,0.51750122091069,0.03743047332167,1.13578709700108,0.0743432318984059,2.99256906624789,0.75021632391159,NA,NA,3.09609550190134,0.443283911305185,0.440882216701263,0.0758016734035108,NA,0.203445051694458
"4","OI","Euro",NA,NA,NA,NA,"within food web",4.76802321205741,NA,NA,NA,NA,NA,NA,0.960828619255565,0.021370571320009,NA,NA,NA,NA,0.558963960625139,NA
"5","OI","Pyrenees",1.57999356592358,0.0418165678605598,NA,NA,"between food webs",7.26986063677583,0.858466691731291,0.0338809118072008,2.37543156499292,0.178333348606532,NA,NA,3.70243969253615,0.054669121918416,4.21615399132689,0.401246945915241,0.374771724244339,NA,1.42991352237763,0.366312224342374
"6","OI","Pyrenees",NA,NA,1.43633920238585,0.0531948102258177,"within food web",NA,NA,NA,NA,NA,5.0715143381383,0.972320297271738,NA,NA,NA,NA,NA,0.122987423410719,NA,NA
"7","OI","Serengeti",NA,NA,6.95024284284568,0.194897912818036,"between food webs",33.0752391622163,7.3152303392929,0.442718320894114,NA,NA,12.5742119333297,3.56243768375923,7.92295304524551,0.110180308633112,40.1122419250212,5.24305175640912,NA,0.0603440086360924,2.88185190626147,0.234563892533653
"8","OI","Serengeti",3.10199929773363,0.146294253767992,NA,NA,"within food web",NA,NA,NA,7.8405182627774,0.62389491752015,NA,NA,NA,NA,NA,NA,0.347918130086894,NA,NA,NA
"9","TL","Arctic",NA,NA,NA,NA,"within food web",NA,1.03992436725221,0.129737457601844,NA,NA,NA,NA,NA,NA,1.05691488043253,0.0929620953049374,NA,NA,NA,0.40361182055908
"10","TL","Arctic",3.48404643322063,0.126790605735378,3.33376029393906,0.199234201289977,"between food webs",0.878681350665822,NA,NA,0.641579038295577,0.0722343076428006,1.01926958007027,0.14877795576816,6.61470003572115,0.128509813216693,NA,NA,0.210431750665449,0.194805069170468,0.0974369692436599,NA
"11","TL","Euro",0.764296158449003,0.0865999481127873,1.30261609629336,0.178056421489658,"between food webs",NA,1.3545607915827,0.150404535063084,0.706572166353115,0.0493371512624946,1.05999930432034,0.132963468265515,NA,NA,0.787238487034062,0.107770885766382,0.409299124240935,0.246761443972559,NA,0.218363951494804
"12","TL","Euro",NA,NA,NA,NA,"within food web",1.00010493681884,NA,NA,NA,NA,NA,NA,1.54241208352021,0.0848656722416069,NA,NA,NA,NA,0.0643457000603116,NA
"13","TL","Pyrenees",2.80044288757044,0.0860784099060287,NA,NA,"between food webs",0.620328897685239,2.0021767997571,0.102579021660924,0.526203004228108,0.0490400239551837,NA,NA,4.76615842956272,0.0623359091336661,0.577111071619492,0.0735019859661145,0.280040876234178,NA,0.0472634883593749,0.244008183681726
"14","TL","Pyrenees",NA,NA,2.04671788050359,0.124844945564092,"within food web",NA,NA,NA,NA,NA,1.03570424773196,0.0932278477728778,NA,NA,NA,NA,NA,0.388819456314482,NA,NA
"15","TL","Serengeti",NA,NA,7.35938339918188,0.495657924197008,"between food webs",0.669796051709049,8.03311172224883,0.716289544337632,NA,NA,1.25623154340757,0.370132097023798,9.21523032510057,0.232509731145307,0.623873284874825,0.513250206359053,NA,0.0560496999052744,0.176290377795944,0.00767634507675764
"16","TL","Serengeti",2.73817257947245,0.29570324091224,NA,NA,"within food web",NA,NA,NA,1.73558192085462,0.168466100080063,NA,NA,NA,NA,NA,NA,0.263931717430756,NA,NA,NA
"17","among_module_conn","Arctic",NA,NA,NA,NA,"within food web",NA,0.567609170806101,0.00740549512111512,NA,NA,NA,NA,NA,NA,0.06339414776353,0.016212165146951,NA,NA,NA,0.0741203511975456
"18","among_module_conn","Arctic",0.496758785438678,0.00496826064486808,0.623402598853256,0.00486549592080989,"between food webs",0.0498602439232396,NA,NA,0.122625585185322,0.0118100892535324,0.0232621997329819,0.00904784353870014,0.551340025226522,0.0033633697574433,NA,NA,0.266980545592783,0.0329502331212298,0.00570917082304531,NA
"19","among_module_conn","Euro",0.562208490540933,0.00759855783636884,0.636416327488913,0.00878461070516648,"between food webs",NA,0.653097160723949,0.0134620444390062,0.101681408520777,0.0180625882296131,0.037389516469651,0.0163358030717466,NA,NA,0.0304957971916099,0.0294712080814792,0.0967074358329453,0.026293302987126,NA,0.00557471787978889
