"","species","role","predicted","targetFW","sourceFW"
"1","20","indegree",9.94,"Serengeti2","Arctic"
"2","20","outdegree",25.85,"Serengeti2","Arctic"
"3","20","betweeness",73.255158491585,"Serengeti2","Arctic"
"4","20","closeness",0.727789625265525,"Serengeti2","Arctic"
"5","20","eigen",0.467867938336275,"Serengeti2","Arctic"
"6","20","TL",2.72070863838995,"Serengeti2","Arctic"
"7","20","OI",1.06062818073823,"Serengeti2","Arctic"
"8","20","within_module_degree",-0.235622356836905,"Serengeti2","Arctic"
"9","20","among_module_conn",0.50549218782645,"Serengeti2","Arctic"
"10","20","position1",6.71,"Serengeti2","Arctic"
"11","20","position2",22.21,"Serengeti2","Arctic"
"12","20","position3",53.5,"Serengeti2","Arctic"
"13","20","position4",17.4,"Serengeti2","Arctic"
"14","20","position5",138.44,"Serengeti2","Arctic"
"15","20","position6",27.92,"Serengeti2","Arctic"
"16","20","position7",1.99,"Serengeti2","Arctic"
"17","20","position8",12.85,"Serengeti2","Arctic"
"18","20","position9",39.98,"Serengeti2","Arctic"
"19","20","position10",323.27,"Serengeti2","Arctic"
"20","20","position11",45.5,"Serengeti2","Arctic"
"21","20","position12",46.5,"Serengeti2","Arctic"
"22","20","position13",89.45,"Serengeti2","Arctic"
"23","20","position14",15.57,"Serengeti2","Arctic"
"24","20","position15",1.61,"Serengeti2","Arctic"
"25","20","position16",15.36,"Serengeti2","Arctic"
"26","20","position17",61.1,"Serengeti2","Arctic"
"27","20","position18",32.62,"Serengeti2","Arctic"
"28","20","position19",5.3,"Serengeti2","Arctic"
"29","20","position20",1.86,"Serengeti2","Arctic"
"30","20","position21",4.85,"Serengeti2","Arctic"
"31","20","position22",5.92,"Serengeti2","Arctic"
"32","20","position23",2.74,"Serengeti2","Arctic"
"33","20","position24",5.16,"Serengeti2","Arctic"
"34","20","position25",13.79,"Serengeti2","Arctic"
"35","20","position26",7.89,"Serengeti2","Arctic"
"36","20","position27",17.3,"Serengeti2","Arctic"
"37","20","position28",8.64,"Serengeti2","Arctic"
"38","20","position29",3.89,"Serengeti2","Arctic"
"39","20","position30",4.39,"Serengeti2","Arctic"
"40","23","indegree",4.2,"Serengeti2","Arctic"
"41","23","outdegree",12.78,"Serengeti2","Arctic"
"42","23","betweeness",10.9509296250716,"Serengeti2","Arctic"
"43","23","closeness",0.569989002606177,"Serengeti2","Arctic"
"44","23","eigen",0.233580812807191,"Serengeti2","Arctic"
