"","Source","Target","species","auc","aucpr","prevalence"
"1","arctic","arctic","Accipiter gentilis",0.897423398328692,0.46865587302322,0.100250626566416
"2","arctic","arctic","Accipiter striatus",0.91789077212806,0.481885059849919,0.112781954887218
"3","arctic","arctic","Actitis macularius",0.961953727506427,0.397589328434723,0.025062656641604
"4","arctic","arctic","Aegolius funereus",0.930311068242103,0.491217021113014,0.0551378446115288
"5","arctic","arctic","Agelaius phoeniceus",0.976649746192893,0.404871794871795,0.012531328320802
"6","arctic","arctic","Alces alces",0.99873417721519,0.958333333333333,0.0100250626566416
"7","arctic","arctic","Anas acuta",0.989222118088098,0.770608558108558,0.0275689223057644
"8","arctic","arctic","Anas crecca",0.98685326547922,0.582539682539683,0.0150375939849624
"9","arctic","arctic","Anas platyrhynchos",0.998200514138817,0.962222222222222,0.025062656641604
"10","arctic","arctic","Anas rubripes",0.99031339031339,0.732159391534392,0.0225563909774436
"11","arctic","arctic","Chen caerulescens",0.989130434782609,0.54563200280112,0.0200501253132832
"12","arctic","arctic","Anthus rubescens",0.968670076726343,0.585693277310924,0.0200501253132832
"13","arctic","arctic","Aquila chrysaetos",0.923609991941982,0.466210718928027,0.0852130325814536
"14","arctic","arctic","Ardea herodias",0.967769296013571,0.731372549019608,0.0150375939849624
"15","arctic","arctic","Asio flammeus",0.911382113821138,0.543812784964091,0.075187969924812
"16","arctic","arctic","Asio otus",0.900527704485489,0.448228975370945,0.050125313283208
"17","arctic","arctic","Aythya affinis",0.989458689458689,0.895757020757021,0.0225563909774436
"18","arctic","arctic","Aythya collaris",0.993440233236152,0.80521978021978,0.0175438596491228
"19","arctic","arctic","Aythya marila",0.994169096209913,0.786554621848739,0.0175438596491228
"20","arctic","arctic","Bombycilla cedrorum",0.994107744107744,0.704761904761905,0.0075187969924812
"21","arctic","arctic","Bonasa umbellus",0.97878590078329,0.680843334464998,0.0401002506265664
"22","arctic","arctic","Botaurus lentiginosus",0.944584382871536,0.305952380952381,0.0050125313283208
"23","arctic","arctic","Branta canadensis",0.995629820051414,0.869325396825397,0.025062656641604
"24","arctic","arctic","Branta hutchinsii",0.994601542416452,0.825576155870274,0.025062656641604
"25","arctic","arctic","Bubo scandiacus",0.948843187660668,0.387521677139467,0.025062656641604
"26","arctic","arctic","Bubo virginianus",0.909609842606961,0.579646199734515,0.130325814536341
"27","arctic","arctic","Bucephala albeola",0.976430976430976,0.62962962962963,0.0075187969924812
"28","arctic","arctic","Bucephala clangula",0.972081218274112,0.47687074829932,0.012531328320802
"29","arctic","arctic","Buteo jamaicensis",0.932070910556003,0.524791339749128,0.0852130325814536
"30","arctic","arctic","Buteo lagopus",0.871833084947838,0.427263550303937,0.0827067669172932
"31","arctic","arctic","Buteo platypterus",0.871388630009319,0.404749885629369,0.0726817042606516
"32","arctic","arctic","Calcarius lapponicus",0.974695407685098,0.455438017208926,0.0275689223057644
"33","arctic","arctic","Calidris minutilla",0.964467005076142,0.292183742183742,0.012531328320802
"34","arctic","arctic","Calidris pusilla",0.983033419023136,0.579643255295429,0.025062656641604
"35","arctic","arctic","Canis latrans",0.943150139386698,0.535998145218926,0.0676691729323308
"36","arctic","arctic","Canis lupus",0.940714505697567,0.40511580849822,0.0426065162907268
