"","Source","Target","species","auc","aucpr","aucprg","prevalence"
"1","Arctic","Arctic","Acanthis flammea",0.963448922211809,0.501972085051353,0.991155633772916,0.0275689223057644
"2","Arctic","Arctic","Accipiter gentilis",0.878098885793872,0.405437039463305,0.881994680688262,0.100250626566416
"3","Arctic","Arctic","Aegolius funereus",0.896370870508802,0.388332776476694,0.93719717553658,0.0551378446115288
"4","Arctic","Arctic","Anas acuta",0.980201499531396,0.533829775022957,0.950187636412444,0.0275689223057644
"5","Arctic","Arctic","Anas crecca",0.977523324851569,0.345380892255892,0.897308820387312,0.0150375939849624
"6","Arctic","Arctic","Anas platyrhynchos",0.990488431876607,0.705238095238095,0.998680371528076,0.025062656641604
"7","Arctic","Arctic","Aquila chrysaetos",0.932272360999194,0.467144355387554,0.901804234926851,0.0852130325814536
"8","Arctic","Arctic","Asio flammeus",0.897018970189702,0.48258882940519,0.951242852511443,0.075187969924812
"9","Arctic","Arctic","Asio otus",0.855738786279683,0.260842484110611,0.852696394123013,0.050125313283208
"10","Arctic","Arctic","Aythya marila",0.980867346938775,0.498463573463573,0.997091292618238,0.0175438596491228
"11","Arctic","Arctic","Bubo scandiacus",0.893958868894602,0.242412554331359,0.910818061245161,0.025062656641604
"12","Arctic","Arctic","Bucephala clangula",0.969289340101523,0.39279126670431,0.896205217826048,0.012531328320802
"13","Arctic","Arctic","Buteo lagopus",0.824681238615665,0.256958564740999,0.800998828767999,0.0827067669172932
"14","Arctic","Arctic","Calcarius lapponicus",0.967900656044986,0.514805930206251,0.995439747966988,0.0275689223057644
"15","Arctic","Arctic","Circus cyaneus",0.821839918355445,0.241478495810686,0.453229148680407,0.0952380952380952
"16","Arctic","Arctic","Clangula hyemalis",0.965313299232737,0.342481962481962,0.926696493453381,0.0200501253132832
"17","Arctic","Arctic","Corvus corax",0.855500391951921,0.332530979984048,0.714755033593426,0.107769423558897
"18","Arctic","Arctic","Cygnus columbianus",0.977223032069971,0.421450930022359,0.629626502014496,0.0175438596491228
"19","Arctic","Arctic","Eremophila alpestris",0.969151670951157,0.528712220150794,0.995325525529018,0.025062656641604
"20","Arctic","Arctic","Falco columbarius",0.886026907356948,0.347963403229916,0.873965574732573,0.0802005012531328
"21","Arctic","Arctic","Falco peregrinus",0.825540806293019,0.320442595894255,0.567295770066529,0.150375939849624
"22","Arctic","Arctic","Gavia immer",0.977918781725888,0.389393939393939,0.794239416114819,0.012531328320802
"23","Arctic","Arctic","Gavia stellata",0.984771573604061,0.59,0.998621051173697,0.012531328320802
"24","Arctic","Arctic","Histrionicus histrionicus",0.98113810741688,0.64767316017316,0.997574060870873,0.0200501253132832
"25","Arctic","Arctic","Lagopus lagopus",0.977146814404432,0.593379861625111,0.971515030005914,0.0476190476190476
"26","Arctic","Arctic","Lagopus muta",0.978756957328386,0.662802813433066,0.997,0.0350877192982456
"27","Arctic","Arctic","Lanius excubitor",0.82462511715089,0.227578291779414,0.940588962601235,0.0275689223057644
"28","Arctic","Arctic","Larus glaucoides",0.923173803526448,0.320974576271186,-0.521033062832706,0.0050125313283208
"29","Arctic","Arctic","Larus hyperboreus",0.854336043360434,0.415369019751638,0.895829875680824,0.075187969924812
"30","Arctic","Arctic","Loxia curvirostra",0.977621483375959,0.513798972766364,0.979222814964601,0.0200501253132832
"31","Arctic","Arctic","Loxia leucoptera",0.996221662468514,0.541666666666667,0.989937122880039,0.0050125313283208
"32","Arctic","Arctic","Melanitta nigra",0.976070528967254,0.364583333333333,-0.262765768452309,0.0050125313283208
"33","Arctic","Arctic","Mergus merganser",0.989294710327456,0.4125,0.237399196746379,0.0050125313283208
"34","Arctic","Arctic","Mergus serrator",0.97554347826087,0.602884984639017,0.998240523831016,0.0200501253132832
"35","Arctic","Arctic","Oenanthe oenanthe",0.96536523929471,0.766666666666667,0.9994797251426,0.0050125313283208
"36","Arctic","Arctic","Pandion haliaetus",0.875944584382871,0.355050505050505,0.235692441421493,0.0050125313283208
"37","Arctic","Arctic","Passer domesticus",0.972879177377892,0.373868314656358,0.896019436344659,0.025062656641604
"38","Arctic","Arctic","Phalaropus fulicarius",0.974744245524297,0.51207144294823,0.996333804658673,0.0200501253132832
"39","Arctic","Arctic","Phalaropus lobatus",0.973494486853266,0.457200460829493,0.996756016549152,0.0150375939849624
"40","Arctic","Arctic","Picoides tridactylus",0.989949748743719,0.583333333333333,-0.512562814070352,0.0025062656641604
"41","Arctic","Arctic","Pinicola enucleator",0.998743718592965,0.75,0.99748743718593,0.0025062656641604
"42","Arctic","Arctic","Plectrophenax nivalis",0.969423617619494,0.512857352367334,0.9945832562979,0.0275689223057644
"43","Arctic","Arctic","Riparia riparia",0.998743718592965,0.75,0.99748743718593,0.0025062656641604
"44","Arctic","Arctic","Somateria mollissima",0.986253196930946,0.732291666666667,0.998831809680023,0.0200501253132832
"45","Arctic","Arctic","Stercorarius longicaudus",0.803947368421053,0.185029397242381,0.750335835473307,0.0476190476190476
"46","Arctic","Arctic","Stercorarius parasiticus",0.804426840633737,0.184307437166176,0.590874797367779,0.0726817042606516
"47","Arctic","Arctic","Stercorarius pomarinus",0.859626802374894,0.21488355712477,0.967619796826137,0.0150375939849624
"48","Arctic","Arctic","Sterna hirundo",0.955696202531646,0.442929292929293,0.996292616923926,0.0100250626566416
"49","Arctic","Arctic","Sterna paradisaea",0.969023136246787,0.483976566911349,0.990426627048759,0.025062656641604
"50","Arctic","Arctic","Strix nebulosa",0.889775725593668,0.304547299516814,0.792457580448816,0.050125313283208
"51","Arctic","Arctic","Sturnus vulgaris",0.975449871465296,0.516690370524467,0.995566011266807,0.025062656641604
"52","Arctic","Arctic","Surnia ulula",0.891471403376165,0.365220191174935,0.920691458228896,0.0526315789473684
"53","Arctic","Arctic","Troglodytes troglodytes",0.966497031382528,0.347958547607916,0.911193986364431,0.0150375939849624
"54","Arctic","Arctic","Uria lomvia",0.803727506426735,0.304666917610832,0.881322631616071,0.025062656641604
"55","Arctic","Arctic","Accipiter striatus",0.884745762711864,0.370062598327876,0.796198596095651,0.112781954887218
"56","Arctic","Arctic","Actitis macularius",0.968251928020565,0.482857196795816,0.974774957289757,0.025062656641604
"57","Arctic","Arctic","Agelaius phoeniceus",0.974619289340102,0.353387445887446,0.894166878709406,0.012531328320802
"58","Arctic","Arctic","Anas americana",0.980063291139241,0.444940476190476,0.989508803788567,0.0100250626566416
"59","Arctic","Arctic","Anas rubripes",0.983190883190883,0.433197757217365,0.861564058956916,0.0225563909774436
"60","Arctic","Arctic","Anthus rubescens",0.970268542199489,0.452023174542459,0.979044789642014,0.0200501253132832
"61","Arctic","Arctic","Ardea herodias",0.908396946564885,0.474890752522331,0.982978847386516,0.0150375939849624
"62","Arctic","Arctic","Aythya affinis",0.987891737891738,0.605459791148197,0.997354712595097,0.0225563909774436
"63","Arctic","Arctic","Aythya collaris",0.988884839650146,0.493468337218337,0.981882820092323,0.0175438596491228
"64","Arctic","Arctic","Bombycilla cedrorum",0.997474747474748,0.791666666666667,0.830808080808081,0.0075187969924812
"65","Arctic","Arctic","Bonasa umbellus",0.983599869451697,0.755021714625726,0.998185111030755,0.0401002506265664
"66","Arctic","Arctic","Botaurus lentiginosus",0.930100755667506,0.285252643948296,-4.06067546904047,0.0050125313283208
"67","Arctic","Arctic","Branta canadensis",0.977634961439589,0.561145809599757,0.975859182500295,0.025062656641604
"68","Arctic","Arctic","Branta hutchinsii",0.97827763496144,0.495120851370851,0.944244537119177,0.025062656641604
"69","Arctic","Arctic","Bubo virginianus",0.850504322766571,0.417603489829559,0.832929909894261,0.130325814536341
"70","Arctic","Arctic","Bucephala albeola",0.986531986531987,0.442361111111111,0.984779136057545,0.0075187969924812
"71","Arctic","Arctic","Buteo jamaicensis",0.854270749395649,0.301992612006715,0.797792685194044,0.0852130325814536
"72","Arctic","Arctic","Buteo platypterus",0.786579683131407,0.198011755336123,0.741147299967296,0.0726817042606516
"73","Arctic","Arctic","Calidris minutilla",0.968781725888325,0.258308080808081,0.347164183350941,0.012531328320802
"74","Arctic","Arctic","Calidris pusilla",0.964910025706941,0.43816701497736,0.989457726391369,0.025062656641604
"75","Arctic","Arctic","Cardellina canadensis",0.991206030150754,0.6,-0.510050251256281,0.0025062656641604
"76","Arctic","Arctic","Cardellina pusilla",0.980478589420655,0.357954545454545,-0.767657621074939,0.0050125313283208
"77","Arctic","Arctic","Catharus guttatus",0.986952861952862,0.477777777777778,0.661503768748087,0.0075187969924812
"78","Arctic","Arctic","Catharus minimus",0.956649831649832,0.842424242424242,0.999385426232017,0.0075187969924812
"79","Arctic","Arctic","Catharus ustulatus",0.995569620253165,0.796428571428571,0.99960547633036,0.0100250626566416
"80","Arctic","Arctic","Certhia americana",0.941498316498317,0.562404870624049,0.830018939393939,0.0075187969924812
"81","Arctic","Arctic","Charadrius semipalmatus",0.971573604060914,0.520479302832244,0.998391561879976,0.012531328320802
"82","Arctic","Arctic","Charadrius vociferus",0.980201499531396,0.652414385108882,0.998073128142513,0.0275689223057644
"83","Arctic","Arctic","Chen caerulescens",0.972826086956522,0.462881073037323,0.803921561990006,0.0200501253132832
"84","Arctic","Arctic","Colaptes auratus",0.98595057791949,0.59138326585695,0.969695045544588,0.0325814536340852
