"","Source","Target","species","auc","aucpr","aucprg","prevalence","mntd","fmpd"
"1","Arctic","Euro","Alytes cisternasii",0.53000386427478,0.0880936484960272,0.828006166428267,0.0269078076753419,19.4141148804251,0.321499743844778
"2","Arctic","Euro","Alytes dickhilleni",0.495444614538591,0.0753842282639261,0.779455806397597,0.0269078076753419,19.414114862397,0.293814584342314
"3","Arctic","Euro","Alytes muletensis",0.369242676827816,0.0396352631875156,0.3559847019941,0.0251433612704014,19.414114862397,0.298476451722177
"4","Arctic","Euro","Alytes obstetricans",0.599999256870235,0.107789271200969,0.849920655962023,0.0269078076753419,19.4141148634272,0.231285320617244
"5","Arctic","Euro","Bombina bombina",0.505728590935692,0.0883009086722767,0.769719139681677,0.0308778120864579,19.4141148232502,0.230827263939867
"6","Arctic","Euro","Bombina pachypus",0.537276444591301,0.0965387265539987,0.803641410120779,0.0291133656815174,19.4141148214474,0.23042489854285
"7","Arctic","Euro","Bombina variegata",0.487307064708557,0.0723668837633844,0.702651960910764,0.0299955888839877,19.4141148214474,0.232113837827326
"8","Arctic","Euro","Bufo bufo",0.667267052474153,0.302968562879455,0.957756928759423,0.0308778120864579,19.4141145341968,0.296036163007569
"9","Arctic","Euro","Bufo verrucosissimus",0.723844890838657,0.371252208362904,0.975980406168994,0.031318923687693,19.4141145361257,0.264513485798041
"10","Arctic","Euro","Bufotes boulengeri",0.658436936378781,0.24076289141371,0.948713387098125,0.0291133656815174,19.4141145399819,0.288543122088574
"11","Arctic","Euro","Bufotes variabilis",0.691194956926831,0.338490932786637,0.967188385362637,0.0326422584913983,19.4141145398229,0.288543122088574
"12","Arctic","Euro","Bufotes viridis",0.70485401459854,0.300767256309414,0.963384372498419,0.0330833700926334,19.4141145373197,0.309025840496325
"13","Arctic","Euro","Calotriton arnoldi",0.405381026016657,0.0339817456700697,0.562574243738943,0.0145566828407587,19.4141146921191,0.302186172696233
"14","Arctic","Euro","Calotriton asper",0.387374161073825,0.0339124259044546,0.421383700292694,0.0141155712395236,19.4141146921191,0.302673787255118
"15","Arctic","Euro","Chioglossa lusitanica",0.504458314757022,0.0513394726450982,0.865762499532686,0.0105866784296427,19.414114684449,0.303177094819862
"16","Arctic","Euro","Discoglossus galganoi",0.610581681512987,0.128122514453875,0.889789417982849,0.0299955888839877,19.4141148034193,0.242015399227421
"17","Arctic","Euro","Discoglossus montalentii",0.558872488458287,0.108540745273206,0.842576444071055,0.0308778120864579,19.4141147892543,0.255658517580221
"18","Arctic","Euro","Discoglossus pictus",0.593645738550197,0.155150045392726,0.905181771006955,0.0304367004852228,19.4141148116607,0.240866383182274
"19","Arctic","Euro","Discoglossus sardus",0.550562455296183,0.105813083664392,0.827884187793276,0.0308778120864579,19.4141148116607,0.246169002668058
"20","Arctic","Euro","Epidalea calamita",0.654365170989507,0.30355453808862,0.954082194464493,0.031318923687693,19.4141145558007,0.365734841458053
"21","Arctic","Euro","Euproctus montanus",0.502217047985422,0.0409890207825014,0.718945331374586,0.00970445522717247,19.4141147193903,0.312522291730697
"22","Arctic","Euro","Euproctus platycephalus",0.639370317878113,0.0490185359161534,0.614048700578896,0.00970445522717247,19.4141147193903,0.242679046951173
"23","Arctic","Euro","Hyla arborea",0.578083446404342,0.155535823831628,0.879026162592815,0.0295544772827525,19.4141146278559,0.290690136277516
"24","Arctic","Euro","Hyla intermedia",0.545772100544712,0.106091153040163,0.836659560900368,0.0282311424790472,19.4141146219339,0.254157010925259
"25","Arctic","Euro","Hyla meridionalis",0.479537846118929,0.0971772126916235,0.847181395096377,0.0282311424790472,19.4141146137463,0.438779150345689
"26","Arctic","Euro","Hyla sarda",0.589671016622015,0.104548194284424,0.86340789397917,0.0277900308778121,19.4141146239718,0.259101087717458
"27","Arctic","Euro","Hyla savignyi",0.542294824666474,0.140005026993957,0.894375519200864,0.0291133656815174,19.41411462288,0.296015603207403
"28","Arctic","Euro","Ichthyosaura alpestris",0.481241080882014,0.0314294945803388,0.313027153295028,0.0172033524481694,19.4141147267679,0.234090267242949
"29","Arctic","Euro","Lissotriton boscai",0.439216137444393,0.0350616204862612,0.578048922686025,0.0180855756506396,19.4141147273248,0.432712378121396
"30","Arctic","Euro","Lissotriton helveticus",0.422178029057919,0.0304135050377791,0.329675214239355,0.0180855756506396,19.4141147298767,0.348423142585594
"31","Arctic","Euro","Lissotriton italicus",0.34958339087603,0.027980956514213,0.149450820985848,0.0172033524481694,19.4141147289441,0.346228949935164
"32","Arctic","Euro","Lissotriton montandoni",0.497980251346499,0.0317755220108028,0.383535501619242,0.0172033524481694,19.4141147322997,0.236259194584286
"33","Arctic","Euro","Lissotriton vulgaris",0.41149357823505,0.0306085537999277,0.460947938660723,0.0172033524481694,19.4141147322997,0.333924143280714
"34","Arctic","Euro","Lyciasalamandra antalyana",0.705818869603916,0.103300257970743,0.81480138549024,0.00882223202470225,19.414114684053,0.337526830191611
"35","Arctic","Euro","Lyciasalamandra atifi",0.64334668446818,0.115775410266611,0.904518267311954,0.00882223202470225,19.4141146849734,0.345674474748729
"36","Arctic","Euro","Lyciasalamandra billae",0.731430796617713,0.115801586215449,0.873969772498085,0.00882223202470225,19.4141146837552,0.322664205475296
"37","Arctic","Euro","Lyciasalamandra fazilae",0.655807743658211,0.134014640361771,0.947713853692502,0.00882223202470225,19.4141146811346,0.338108842900082
"38","Arctic","Euro","Lyciasalamandra flavimembris",0.669681797952826,0.127651860528612,0.973170442729202,0.00882223202470225,19.4141146810946,0.33863520463869
"39","Arctic","Euro","Lyciasalamandra helverseni",0.615137254901961,0.16836534892805,0.956989976390819,0.00749889722099691,19.4141146813263,0.357148531051849
"40","Arctic","Euro","Lyciasalamandra luschani",0.571328437917223,0.0512310062878949,0.563510736399855,0.00882223202470225,19.4141146807789,0.297531816768573
"41","Arctic","Euro","Mertensiella caucasica",0.695778497671593,0.0803107856789887,0.775928352497141,0.00970445522717247,19.414114684449,0.262271254906701
"42","Arctic","Euro","Neurergus crocatus",0.726439587692785,0.0512145140336445,0.775373658046251,0.0101455668284076,19.4141147114826,0.237066176644598
"43","Arctic","Euro","Neurergus strauchii",0.69105053088429,0.0455905601947672,0.222033557462108,0.0101455668284076,19.414114723168,0.299757363867702
"44","Arctic","Euro","Ommatotriton ophryticus",0.717542989417989,0.0477491847901682,0.631645158248835,0.011910013233348,19.414114715076,0.258573060074174
"45","Arctic","Euro","Ommatotriton vittatus",0.591929875398435,0.039175077864317,0.574534320100764,0.0149977944419938,19.414114715076,0.262489392240947
"46","Arctic","Euro","Pelobates cultripes",0.58965504816354,0.174220975514665,0.910254711022616,0.0335244816938685,19.4141148376727,0.353840967094068
"47","Arctic","Euro","Pelobates fuscus",0.624150447945628,0.226080503202575,0.917019772606569,0.0366122629025143,19.4141148119183,0.346717911018692
"48","Arctic","Euro","Pelobates syriacus",0.649336425718335,0.190071890069118,0.932830978451258,0.0344067048963388,19.4141148320068,0.280884529662289
"49","Arctic","Euro","Pelodytes caucasicus",0.525170316301703,0.125430992072679,0.837891210908847,0.0330833700926334,19.4141148745016,0.328618194903892
"50","Arctic","Euro","Pelodytes ibericus",0.544692822384428,0.100742549435698,0.826456225946283,0.0330833700926334,19.4141148459141,0.232908775400774
"51","Arctic","Euro","Pelodytes punctatus",0.45395244025381,0.104026776770345,0.789229841406596,0.0339655932951037,19.4141148459141,0.354836742559811
"52","Arctic","Euro","Pelophylax bedriagae",0.746766050486981,0.41142018732292,0.950360442561933,0.0516100573445082,19.4141145087719,0.287436233870226
"53","Arctic","Euro","Pelophylax bergeri",0.682697276883323,0.285200136176733,0.909298685020894,0.0516100573445082,19.4141145137057,0.34946497439012
"54","Arctic","Euro","Pelophylax caralitanus",0.756508742734106,0.356042613926764,0.941190021605806,0.0520511689457433,19.4141145054053,0.280219484970533
"55","Arctic","Euro","Pelophylax cerigensis",0.71877062605422,0.251948697188451,0.902011259724104,0.0502867225408028,19.4141145054852,0.283105973047905
"56","Arctic","Euro","Pelophylax cretensis",0.725485043309621,0.274569890239937,0.91248448455635,0.0502867225408028,19.4141145070747,0.282746575770078
"57","Arctic","Euro","Pelophylax epeiroticus",0.746287197040799,0.359814671490213,0.934297844771593,0.0520511689457433,19.4141145126766,0.269572438642679
"58","Arctic","Euro","Pelophylax kurtmuelleri",0.732068525734316,0.325164723694807,0.927922714477894,0.0524922805469784,19.4141145112875,0.279078018268836
"59","Arctic","Euro","Pelophylax lessonae",0.75424714687951,0.361316309273464,0.937914941181731,0.0520511689457433,19.4141145138396,0.283014072604954
"60","Arctic","Euro","Pelophylax perezi",0.721492744981117,0.302910720653327,0.925130363708225,0.0516100573445082,19.4141145068867,0.280562683995682
"61","Arctic","Euro","Pelophylax ridibundus",0.734300126103405,0.384212277273295,0.942712762308492,0.0538156153506837,19.4141145110539,0.333770529561698
"62","Arctic","Euro","Pelophylax shqipericus",0.693730233218446,0.289716365527223,0.922383322977151,0.0520511689457433,19.4141145186486,0.263834700218229
"63","Arctic","Euro","Pleurodeles waltl",0.623586219923969,0.0662397146783007,0.897788988381259,0.0167622408469343,19.414114729341,0.332709722375697
"64","Arctic","Euro","Proteus anguinus",0.420114942528736,0.102920346830451,-11.1911612996071,0.00220555800617556,19.4141149401755,0.230787721637696
"65","Arctic","Euro","Rana arvalis",0.647229163217076,0.291551367320574,0.916637385878583,0.0546978385531539,19.414114504409,0.292154870303476
"66","Arctic","Euro","Rana dalmatina",0.681757883261995,0.271895572531368,0.919757679164045,0.051168945743273,19.4141144993996,0.247021790316056
"67","Arctic","Euro","Rana graeca",0.657516952820661,0.291015903379616,0.914495505857964,0.051168945743273,19.4141144982057,0.244868237209975
"68","Arctic","Euro","Rana iberica",0.603725553580087,0.2445956499497,0.887562859706834,0.0507278341420379,19.4141145044422,0.251517196612188
"69","Arctic","Euro","Rana italica",0.636354452885082,0.256480268259035,0.899468404178006,0.0507278341420379,19.4141145034711,0.258774100127532
"70","Arctic","Euro","Rana latastei",0.686605267798458,0.280422593019668,0.922641649114108,0.051168945743273,19.4141144998135,0.244467569946738
"71","Arctic","Euro","Rana macrocnemis",0.64570264360962,0.21443338833487,0.913972892522809,0.0516100573445082,19.4141144979436,0.291902351816192
"72","Arctic","Euro","Rana pyrenaica",0.598023158220679,0.227368861982307,0.864338717065683,0.0502867225408028,19.4141144975738,0.243391777881561
"73","Arctic","Euro","Rana tavasensis",0.633754949582392,0.254279217164355,0.907594022915211,0.051168945743273,19.4141144967814,0.260584342245795
"74","Arctic","Euro","Rana temporaria",0.659858578775129,0.305103346754427,0.911965847411367,0.0564622849580944,19.4141144977369,0.292951416087691
"75","Arctic","Euro","Salamandra atra",0.525718767559468,0.0467832806333285,0.829404794363784,0.00838112042346714,19.4141146880963,0.303386691197217
"76","Arctic","Euro","Salamandra corsica",0.600313725490196,0.058559666868194,0.792963534628338,0.00749889722099691,19.4141146872697,0.336216532326342
"77","Arctic","Euro","Salamandra infraimmaculata",0.603228758169935,0.0603147437326028,0.922853585922363,0.00749889722099691,19.4141146780862,0.360996753899636
"78","Arctic","Euro","Salamandra lanzai",0.593464052287582,0.0427725854129832,0.209674480088305,0.00749889722099691,19.4141146872697,0.187740585577445
"79","Arctic","Euro","Salamandra salamandra",0.632104575163399,0.0523255909675809,0.50380434548233,0.00749889722099691,19.4141146780862,0.193473563302134
"80","Arctic","Euro","Salamandrella keyserlingii",0.798883563679596,0.119111033546197,0.936457890113125,0.0105866784296427,19.4141145838053,0.244575856022405
"81","Arctic","Euro","Salamandrina perspicillata",0.64971336689038,0.0533239735955294,0.703616030651016,0.0141155712395236,19.414114877077,0.200540063827174
"82","Arctic","Euro","Salamandrina terdigitata",0.642911073825503,0.0535249081956688,0.74693814849144,0.0141155712395236,19.414114877077,0.195479336621029
"83","Arctic","Euro","Speleomantes ambrosii",0.372640673460346,0.0532678892364385,-36.820660236199,0.00441111601235112,19.414114524323,0.221769513981301
"84","Arctic","Euro","Speleomantes flavus",0.440097474523704,0.0537058439297725,-38.0770264466537,0.00441111601235112,19.4141145307314,0.2141193154386
"85","Arctic","Euro","Speleomantes genei",0.413070447496677,0.0535242355222741,-34.231986167111,0.00441111601235112,19.4141145264571,0.216838698569561
"86","Arctic","Euro","Speleomantes imperialis",0.435334514842712,0.0536801409659126,-39.1848980367081,0.00441111601235112,19.4141145281335,0.216813941418728
"87","Arctic","Euro","Speleomantes italicus",0.427161862527716,0.0460443701086444,-19.9061424593575,0.00529333921482135,19.414114524323,0.220128448876678
"88","Arctic","Euro","Speleomantes sarrabusensis",0.43458130261409,0.05364400524677,-20.5878719306042,0.00441111601235112,19.4141145281335,0.216712330302703
"89","Arctic","Euro","Speleomantes strinatii",0.512317235268055,0.105549886943621,-10.5723174151153,0.00441111601235112,19.4141145245125,0.260525053463861
"90","Arctic","Euro","Speleomantes supramontis",0.441249446167479,0.103661016368005,-30.4725048456657,0.00441111601235112,19.4141145307314,0.214527653634995
"91","Arctic","Euro","Triturus carnifex",0.583766134157298,0.0462844046236027,0.746238732674124,0.0180855756506396,19.4141147193086,0.323328100292794
"92","Arctic","Euro","Triturus cristatus",0.575093682203668,0.0412655500165025,0.611160088266462,0.0180855756506396,19.4141147158166,0.24922324265602
"93","Arctic","Euro","Triturus dobrogicus",0.536727806631166,0.0359052915929012,0.542092543709393,0.0180855756506396,19.4141147162898,0.326493410739698
"94","Arctic","Euro","Triturus karelinii",0.520253982863279,0.0408534706879313,0.672427577102102,0.0180855756506396,19.4141147196126,0.319716852013747
"95","Arctic","Euro","Triturus macedonicus",0.546358994587251,0.0390973460278407,0.647406901019695,0.0180855756506396,19.4141147177238,0.324963597956834
"96","Arctic","Euro","Triturus marmoratus",0.55498761860934,0.0396187269437598,0.56619635485557,0.0180855756506396,19.4141147067109,0.238510066695422
"97","Arctic","Euro","Triturus pygmaeus",0.504037648193194,0.0350820393783475,0.554975784465058,0.0180855756506396,19.4141147063848,0.312596712514896
"98","Arctic","Euro","Acanthis flammea",0.915190061080472,0.399917728095226,0.982383420441635,0.0339655932951037,0,0.177242021571183
"99","Arctic","Euro","Acanthis hornemanni",0.911848266261706,0.326012933560224,0.974426556172344,0.0317600352889281,1.1724783400126,0.250333243135685
"100","Arctic","Euro","Accipiter brevipes",0.853817158632406,0.0852588347102552,0.692243963383398,0.0224966916629907,6.81839829537834,0.16915707623505
"101","Arctic","Euro","Accipiter gentilis",0.902888663948371,0.348067614165918,0.811930943027414,0.089986766651963,0,0.179334849046436
"102","Arctic","Euro","Accipiter nisus",0.896776243327967,0.384737155908583,0.834812303946422,0.102337891486546,6.77322066581382,0.18916040535162
"103","Arctic","Euro","Acrocephalus agricola",0.851273632256985,0.0812702381955351,0.785956260025837,0.0189677988531098,8.17445765955488,0.175045500205307
"104","Arctic","Euro","Acrocephalus arundinaceus",0.856915691569157,0.098364807489891,0.735676182787548,0.0198500220555801,8.17445765955309,0.202442028887867
"105","Arctic","Euro","Acrocephalus dumetorum",0.841407169609417,0.0800689829726302,0.822095623490238,0.0185266872518747,8.17445765955485,0.177269236538901
"106","Arctic","Euro","Acrocephalus melanopogon",0.832021359849008,0.0716085180869532,0.825250631365704,0.0172033524481694,8.17445765956031,0.18216944893663
"107","Arctic","Euro","Acrocephalus paludicola",0.834668323896331,0.0700750834635464,0.747626376499716,0.0172033524481694,8.1744576595534,0.18116334886913
"108","Arctic","Euro","Acrocephalus palustris",0.838282005247894,0.0704597443167063,0.800881096772874,0.0172033524481694,8.17445765956714,0.175297917984164
"109","Arctic","Euro","Acrocephalus schoenobaenus",0.85773153495292,0.0927449531535908,0.78072955795715,0.0202911336568152,8.17445765956299,0.190550747226775
"110","Arctic","Euro","Acrocephalus scirpaceus",0.845928924876293,0.0813179072617834,0.748725263541077,0.0194089104543449,8.17445765955199,0.189866987536739
"111","Arctic","Euro","Actitis hypoleucos",0.975071225071225,0.244489740870647,0.966762792302844,0.0114689016321129,7.6200213734846,0.191647822238885
"112","Arctic","Euro","Aegithalos caudatus",0.880250761493235,0.135440761634894,0.925067850916071,0.0167622408469343,7.86756242609049,0.206016181969206
"113","Arctic","Euro","Aegolius funereus",0.861961529313086,0.226639928225523,0.785279454587156,0.066607851786502,0,0.258464235088555
"114","Arctic","Euro","Aegypius monachus",0.832123881431767,0.0807982262256321,0.85639858956024,0.0141155712395236,8.239959753372,0.218558780024262
"115","Arctic","Euro","Alauda arvensis",0.925398431307105,0.409363121867216,0.97838535470915,0.0388178209086899,5.37357559839628,0.21081462500941
"116","Arctic","Euro","Alca torda",0.765408525754884,0.0529286560827386,0.382598053326421,0.00661667401852669,4.47927827483524,0.22673828170668
"117","Arctic","Euro","Alcedo atthis",0.957427055702918,0.134199792676794,-3.92838754025099,0.00220555800617556,11.7778449891553,0.200775080430624
"118","Arctic","Euro","Alectoris barbara",0.981162277912055,0.239306320436819,0.896848757145738,0.00926334362593736,6.52262468164748,0.251764192962596
"119","Arctic","Euro","Alectoris chukar",0.988566468253968,0.408201588598324,0.98610969929443,0.011910013233348,6.52262468164497,0.281220107932797
"120","Arctic","Euro","Alectoris graeca",0.987874575223973,0.392078751561232,0.976666643833235,0.0114689016321129,6.52262468164163,0.269273263043212
"121","Arctic","Euro","Alectoris rufa",0.988161375661376,0.379587598516567,0.984536165695151,0.011910013233348,6.52262468164497,0.271032972243811
"122","Arctic","Euro","Alle alle",0.956541019955654,0.167424269677564,0.950179641461688,0.00529333921482135,4.47078183173127,0.215754681760143
"123","Arctic","Euro","Ammomanes deserti",0.931299855922971,0.407375804192551,0.981168686897672,0.0344067048963388,6.73873374321642,0.289502569606393
"124","Arctic","Euro","Ammoperdix griseogularis",0.98417034798109,0.314846103343719,0.900745647438287,0.0101455668284076,6.52262468167055,0.27860771650992
"125","Arctic","Euro","Anas acuta",0.983028137561411,0.398432553590788,0.977396703813505,0.0123511248345831,0,0.263130868607808
"126","Arctic","Euro","Anas clypeata",0.98261995007858,0.447108416512792,0.98803814447251,0.0127922364358183,3.56283712474655,0.201870860556531
"127","Arctic","Euro","Anas crecca",0.979101299865531,0.435322627143241,0.990124629599982,0.015880017644464,0,0.258294858619453
"128","Arctic","Euro","Anas penelope",0.982166783640656,0.39642212552412,0.988657704727833,0.0123511248345831,3.13546867540504,0.272572417994312
"129","Arctic","Euro","Anas platyrhynchos",0.982670242884816,0.420544879538364,0.979872326694035,0.0132333480370534,0,0.268628040600985
"130","Arctic","Euro","Anas querquedula",0.984638377862007,0.371305638980396,0.969162723842714,0.0127922364358183,3.56283712474463,0.258261201610714
"131","Arctic","Euro","Anas strepera",0.984190135598272,0.478661755427048,0.993601379167623,0.0132333480370534,3.13546867540558,0.259705459134356
"132","Arctic","Euro","Anser albifrons",0.988795145056246,0.288479551971673,0.989353845726082,0.00661667401852669,2.15657378876157,0.277994562722781
"133","Arctic","Euro","Anser anser",0.990650165505657,0.447938649072107,0.998775659747316,0.00794000882223202,2.15657378876436,0.257980247984348
"134","Arctic","Euro","Anser brachyrhynchus",0.987628830796533,0.243896867997683,0.914922785937724,0.00573445081605646,2.15657378876548,0.276759306388712
"135","Arctic","Euro","Anser erythropus",0.987445311013886,0.226090274778745,0.789371340365669,0.00617556241729157,2.15657378875845,0.257959187255995
"136","Arctic","Euro","Anser fabalis",0.988993925329329,0.299876978027649,0.832801827756418,0.00573445081605646,2.15657378875232,0.257217247925643
"137","Arctic","Euro","Anthropoides virgo",0.988903625110522,0.315313852813853,0.997539681011833,0.00220555800617556,12.1346103802361,0.317660100505344
"138","Arctic","Euro","Anthus berthelotii",0.907611028025229,0.361679683969426,0.981742224942394,0.0308778120864579,6.17843257726631,0.193833776387279
"139","Arctic","Euro","Anthus campestris",0.922407608821419,0.417122157089017,0.978008526805866,0.0348478164975739,6.17843257726707,0.193518725073327
"140","Arctic","Euro","Anthus cervinus",0.925942424733298,0.387925139933058,0.985440205648389,0.0348478164975739,3.69197020657035,0.195025141084213
"141","Arctic","Euro","Anthus hodgsoni",0.922299270072993,0.392288923292531,0.984985534894055,0.0330833700926334,4.81913526728147,0.182182864712148
"142","Arctic","Euro","Anthus petrosus",0.915406378600823,0.354347261953324,0.972242518358735,0.035288928098809,3.3907625397956,0.187627329271222
"143","Arctic","Euro","Anthus pratensis",0.918279059785617,0.40361379589811,0.980199393046708,0.0357300397000441,3.38689744473195,0.184608238564822
