"","Predator","Prey"
"1","Discoglossus montalentii","Euproctus montanus"
"2","Discoglossus montalentii","Euproctus platycephalus"
"3","Discoglossus pictus","Discoglossus pictus"
"4","Discoglossus sardus","Euproctus montanus"
"5","Discoglossus sardus","Euproctus platycephalus"
"6","Calotriton asper","Alytes cisternasii"
"7","Calotriton asper","Alytes dickhilleni"
"8","Calotriton asper","Alytes muletensis"
"9","Calotriton asper","Alytes obstetricans"
"10","Calotriton asper","Bombina bombina"
"11","Calotriton asper","Bombina pachypus"
"12","Calotriton asper","Bombina variegata"
"13","Calotriton asper","Bufo bufo"
"14","Calotriton asper","Epidalea calamita"
"15","Calotriton asper","Bufo verrucosissimus"
"16","Calotriton asper","Bufotes viridis"
"17","Calotriton asper","Chioglossa lusitanica"
"18","Calotriton asper","Discoglossus galganoi"
"19","Calotriton asper","Discoglossus jeanneae"
"20","Calotriton asper","Discoglossus montalentii"
"21","Calotriton asper","Discoglossus pictus"
"22","Calotriton asper","Discoglossus sardus"
"23","Calotriton asper","Calotriton asper"
"24","Calotriton asper","Euproctus montanus"
"25","Calotriton asper","Euproctus platycephalus"
"26","Calotriton asper","Hyla arborea"
"27","Calotriton asper","Hyla intermedia"
"28","Calotriton asper","Hyla meridionalis"
"29","Calotriton asper","Hyla sarda"
"30","Calotriton asper","Hyla savignyi"
"31","Calotriton asper","Pelobates cultripes"
"32","Calotriton asper","Pelobates fuscus"
"33","Calotriton asper","Pelobates syriacus"
"34","Calotriton asper","Pelodytes caucasicus"
"35","Calotriton asper","Pelodytes ibericus"
"36","Calotriton asper","Pelodytes punctatus"
"37","Calotriton asper","Rana arvalis"
"38","Calotriton asper","Pelophylax bedriagae"
"39","Calotriton asper","Pelophylax bergeri"
"40","Calotriton asper","Pelophylax cerigensis"
"41","Calotriton asper","Pelophylax cretensis"
"42","Calotriton asper","Rana dalmatina"
"43","Calotriton asper","Pelophylax epeiroticus"
"44","Calotriton asper","Pelophylax lessonae"
"45","Calotriton asper","Rana graeca"
"46","Calotriton asper","Rana iberica"
"47","Calotriton asper","Rana italica"
"48","Calotriton asper","Pelophylax kurtmuelleri"
"49","Calotriton asper","Rana latastei"
"50","Calotriton asper","Rana macrocnemis"
"51","Calotriton asper","Pelophylax perezi"
"52","Calotriton asper","Rana pyrenaica"
"53","Calotriton asper","Pelophylax ridibundus"
"54","Calotriton asper","Pelophylax shqipericus"
"55","Calotriton asper","Rana tavasensis"
"56","Calotriton asper","Rana temporaria"
"57","Calotriton asper","Salamandra corsica"
"58","Calotriton asper","Salamandra infraimmaculata"
"59","Calotriton asper","Salamandra salamandra"
"60","Calotriton asper","Salamandrina perspicillata"
"61","Calotriton asper","Salamandrina terdigitata"
"62","Calotriton asper","Lissotriton boscai"
"63","Calotriton asper","Triturus carnifex"
"64","Calotriton asper","Triturus cristatus"
"65","Calotriton asper","Triturus dobrogicus"
"66","Calotriton asper","Lissotriton helveticus"
"67","Calotriton asper","Lissotriton italicus"
"68","Calotriton asper","Triturus karelinii"
"69","Calotriton asper","Triturus marmoratus"
"70","Calotriton asper","Lissotriton montandoni"
"71","Calotriton asper","Triturus pygmaeus"
"72","Calotriton asper","Lissotriton vulgaris"
"73","Calotriton asper","Pelophylax caralitanus"
"74","Calotriton asper","Calotriton arnoldi"
"75","Calotriton asper","Bufotes boulengeri"
"76","Calotriton asper","Bufotes variabilis"
"77","Calotriton asper","Triturus macedonicus"
"78","Euproctus montanus","Alytes cisternasii"
"79","Euproctus montanus","Alytes dickhilleni"
"80","Euproctus montanus","Alytes muletensis"
"81","Euproctus montanus","Alytes obstetricans"
"82","Euproctus montanus","Bombina bombina"
"83","Euproctus montanus","Bombina pachypus"
"84","Euproctus montanus","Bombina variegata"
"85","Euproctus montanus","Epidalea calamita"
"86","Euproctus montanus","Bufotes viridis"
"87","Euproctus montanus","Chioglossa lusitanica"
"88","Euproctus montanus","Discoglossus galganoi"
"89","Euproctus montanus","Discoglossus jeanneae"
"90","Euproctus montanus","Discoglossus montalentii"
"91","Euproctus montanus","Discoglossus pictus"
"92","Euproctus montanus","Discoglossus sardus"
"93","Euproctus montanus","Calotriton asper"
"94","Euproctus montanus","Euproctus montanus"
"95","Euproctus montanus","Euproctus platycephalus"
"96","Euproctus montanus","Hyla arborea"
"97","Euproctus montanus","Hyla intermedia"
"98","Euproctus montanus","Hyla meridionalis"
"99","Euproctus montanus","Hyla sarda"
"100","Euproctus montanus","Hyla savignyi"
"101","Euproctus montanus","Mertensiella caucasica"
"102","Euproctus montanus","Neurergus crocatus"
"103","Euproctus montanus","Neurergus strauchii"
"104","Euproctus montanus","Pelobates cultripes"
"105","Euproctus montanus","Pelobates fuscus"
"106","Euproctus montanus","Pelobates syriacus"
"107","Euproctus montanus","Pelodytes caucasicus"
"108","Euproctus montanus","Pelodytes ibericus"
"109","Euproctus montanus","Pelodytes punctatus"
"110","Euproctus montanus","Pleurodeles waltl"
"111","Euproctus montanus","Rana arvalis"
"112","Euproctus montanus","Pelophylax bedriagae"
"113","Euproctus montanus","Pelophylax bergeri"
"114","Euproctus montanus","Pelophylax cerigensis"
"115","Euproctus montanus","Pelophylax cretensis"
"116","Euproctus montanus","Rana dalmatina"
"117","Euproctus montanus","Pelophylax epeiroticus"
"118","Euproctus montanus","Pelophylax lessonae"
"119","Euproctus montanus","Rana graeca"
"120","Euproctus montanus","Rana iberica"
"121","Euproctus montanus","Rana italica"
"122","Euproctus montanus","Pelophylax kurtmuelleri"
"123","Euproctus montanus","Rana latastei"
"124","Euproctus montanus","Rana macrocnemis"
"125","Euproctus montanus","Pelophylax perezi"
"126","Euproctus montanus","Rana pyrenaica"
"127","Euproctus montanus","Pelophylax ridibundus"
"128","Euproctus montanus","Pelophylax shqipericus"
"129","Euproctus montanus","Rana tavasensis"
"130","Euproctus montanus","Rana temporaria"
"131","Euproctus montanus","Salamandra corsica"
"132","Euproctus montanus","Salamandra infraimmaculata"
"133","Euproctus montanus","Salamandra salamandra"
"134","Euproctus montanus","Salamandrina perspicillata"
"135","Euproctus montanus","Salamandrina terdigitata"
"136","Euproctus montanus","Ichthyosaura alpestris"
"137","Euproctus montanus","Lissotriton boscai"
"138","Euproctus montanus","Triturus carnifex"
"139","Euproctus montanus","Triturus cristatus"
"140","Euproctus montanus","Triturus dobrogicus"
"141","Euproctus montanus","Lissotriton helveticus"
"142","Euproctus montanus","Lissotriton italicus"
"143","Euproctus montanus","Triturus karelinii"
"144","Euproctus montanus","Triturus marmoratus"
"145","Euproctus montanus","Lissotriton montandoni"
"146","Euproctus montanus","Triturus pygmaeus"
"147","Euproctus montanus","Ommatotriton vittatus"
"148","Euproctus montanus","Lissotriton vulgaris"
"149","Euproctus montanus","Pelophylax caralitanus"
"150","Euproctus montanus","Ommatotriton ophryticus"
"151","Euproctus montanus","Calotriton arnoldi"
"152","Euproctus montanus","Bufotes boulengeri"
"153","Euproctus montanus","Bufotes variabilis"
"154","Euproctus montanus","Triturus macedonicus"
"155","Pelobates cultripes","Pelobates cultripes"
"156","Pelobates cultripes","Pelobates fuscus"
"157","Pelobates cultripes","Pelobates syriacus"
"158","Pelobates cultripes","Pelodytes caucasicus"
"159","Pelobates cultripes","Pelodytes ibericus"
"160","Pelobates cultripes","Pelodytes punctatus"
"161","Pelobates cultripes","Rana arvalis"
"162","Pelobates cultripes","Pelophylax bedriagae"
"163","Pelobates cultripes","Pelophylax bergeri"
"164","Pelobates cultripes","Pelophylax cerigensis"
"165","Pelobates cultripes","Pelophylax cretensis"
"166","Pelobates cultripes","Rana dalmatina"
"167","Pelobates cultripes","Pelophylax epeiroticus"
"168","Pelobates cultripes","Pelophylax lessonae"
"169","Pelobates cultripes","Rana graeca"
"170","Pelobates cultripes","Rana iberica"
