"","Predator","Prey"
"1","Discoglossus montalentii","Euproctus montanus"
"2","Discoglossus montalentii","Euproctus platycephalus"
"3","Discoglossus sardus","Euproctus montanus"
"4","Discoglossus sardus","Euproctus platycephalus"
"5","Gavia stellata","Rana arvalis"
"6","Gavia stellata","Pelophylax bedriagae"
"7","Gavia stellata","Pelophylax bergeri"
"8","Gavia stellata","Pelophylax cerigensis"
"9","Gavia stellata","Pelophylax cretensis"
"10","Gavia stellata","Rana dalmatina"
"11","Gavia stellata","Pelophylax epeiroticus"
"12","Gavia stellata","Pelophylax lessonae"
"13","Gavia stellata","Rana graeca"
"14","Gavia stellata","Rana iberica"
"15","Gavia stellata","Rana italica"
"16","Gavia stellata","Pelophylax kurtmuelleri"
"17","Gavia stellata","Rana latastei"
"18","Gavia stellata","Rana macrocnemis"
"19","Gavia stellata","Pelophylax perezi"
"20","Gavia stellata","Rana pyrenaica"
"21","Gavia stellata","Pelophylax ridibundus"
"22","Gavia stellata","Pelophylax shqipericus"
"23","Gavia stellata","Rana tavasensis"
"24","Gavia stellata","Rana temporaria"
"25","Gavia stellata","Pelophylax caralitanus"
"26","Gavia immer","Rana arvalis"
"27","Gavia immer","Pelophylax bedriagae"
"28","Gavia immer","Pelophylax bergeri"
"29","Gavia immer","Pelophylax cerigensis"
"30","Gavia immer","Pelophylax cretensis"
"31","Gavia immer","Rana dalmatina"
"32","Gavia immer","Pelophylax epeiroticus"
"33","Gavia immer","Pelophylax lessonae"
"34","Gavia immer","Rana graeca"
"35","Gavia immer","Rana iberica"
"36","Gavia immer","Rana italica"
"37","Gavia immer","Pelophylax kurtmuelleri"
"38","Gavia immer","Rana latastei"
"39","Gavia immer","Rana macrocnemis"
"40","Gavia immer","Pelophylax perezi"
"41","Gavia immer","Rana pyrenaica"
"42","Gavia immer","Pelophylax ridibundus"
"43","Gavia immer","Pelophylax shqipericus"
"44","Gavia immer","Rana tavasensis"
"45","Gavia immer","Rana temporaria"
"46","Gavia immer","Pelophylax caralitanus"
"47","Podiceps cristatus","Calotriton asper"
"48","Podiceps cristatus","Pleurodeles waltl"
"49","Podiceps cristatus","Rana arvalis"
"50","Podiceps cristatus","Pelophylax bedriagae"
"51","Podiceps cristatus","Pelophylax bergeri"
"52","Podiceps cristatus","Pelophylax cerigensis"
"53","Podiceps cristatus","Pelophylax cretensis"
"54","Podiceps cristatus","Rana dalmatina"
"55","Podiceps cristatus","Pelophylax epeiroticus"
"56","Podiceps cristatus","Pelophylax lessonae"
"57","Podiceps cristatus","Rana graeca"
"58","Podiceps cristatus","Rana iberica"
"59","Podiceps cristatus","Rana italica"
"60","Podiceps cristatus","Pelophylax kurtmuelleri"
"61","Podiceps cristatus","Rana latastei"
"62","Podiceps cristatus","Rana macrocnemis"
"63","Podiceps cristatus","Pelophylax perezi"
"64","Podiceps cristatus","Rana pyrenaica"
"65","Podiceps cristatus","Pelophylax ridibundus"
"66","Podiceps cristatus","Pelophylax shqipericus"
"67","Podiceps cristatus","Rana tavasensis"
"68","Podiceps cristatus","Rana temporaria"
"69","Podiceps cristatus","Ichthyosaura alpestris"
"70","Podiceps cristatus","Lissotriton boscai"
"71","Podiceps cristatus","Triturus carnifex"
"72","Podiceps cristatus","Triturus cristatus"
"73","Podiceps cristatus","Triturus dobrogicus"
"74","Podiceps cristatus","Lissotriton helveticus"
"75","Podiceps cristatus","Lissotriton italicus"
"76","Podiceps cristatus","Triturus karelinii"
"77","Podiceps cristatus","Triturus marmoratus"
"78","Podiceps cristatus","Lissotriton montandoni"
"79","Podiceps cristatus","Triturus pygmaeus"
"80","Podiceps cristatus","Ommatotriton vittatus"
"81","Podiceps cristatus","Lissotriton vulgaris"
"82","Podiceps cristatus","Pelophylax caralitanus"
"83","Podiceps cristatus","Ommatotriton ophryticus"
"84","Podiceps cristatus","Calotriton arnoldi"
"85","Podiceps cristatus","Triturus macedonicus"
"86","Podiceps grisegena","Rana arvalis"
"87","Podiceps grisegena","Pelophylax bedriagae"
"88","Podiceps grisegena","Pelophylax bergeri"
"89","Podiceps grisegena","Pelophylax cerigensis"
"90","Podiceps grisegena","Pelophylax cretensis"
"91","Podiceps grisegena","Rana dalmatina"
"92","Podiceps grisegena","Pelophylax epeiroticus"
"93","Podiceps grisegena","Pelophylax lessonae"
"94","Podiceps grisegena","Rana graeca"
"95","Podiceps grisegena","Rana iberica"
"96","Podiceps grisegena","Rana italica"
"97","Podiceps grisegena","Pelophylax kurtmuelleri"
"98","Podiceps grisegena","Rana latastei"
"99","Podiceps grisegena","Rana macrocnemis"
"100","Podiceps grisegena","Pelophylax perezi"
"101","Podiceps grisegena","Rana pyrenaica"
"102","Podiceps grisegena","Pelophylax ridibundus"
"103","Podiceps grisegena","Pelophylax shqipericus"
"104","Podiceps grisegena","Rana tavasensis"
"105","Podiceps grisegena","Rana temporaria"
"106","Podiceps grisegena","Pelophylax caralitanus"
"107","Podiceps nigricollis","Rana arvalis"
"108","Podiceps nigricollis","Pelophylax bedriagae"
"109","Podiceps nigricollis","Pelophylax bergeri"
"110","Podiceps nigricollis","Pelophylax cerigensis"
"111","Podiceps nigricollis","Pelophylax cretensis"
"112","Podiceps nigricollis","Rana dalmatina"
"113","Podiceps nigricollis","Pelophylax epeiroticus"
"114","Podiceps nigricollis","Pelophylax lessonae"
"115","Podiceps nigricollis","Rana graeca"
"116","Podiceps nigricollis","Rana iberica"
"117","Podiceps nigricollis","Rana italica"
"118","Podiceps nigricollis","Pelophylax kurtmuelleri"
"119","Podiceps nigricollis","Rana latastei"
"120","Podiceps nigricollis","Rana macrocnemis"
"121","Podiceps nigricollis","Pelophylax perezi"
"122","Podiceps nigricollis","Rana pyrenaica"
"123","Podiceps nigricollis","Pelophylax ridibundus"
"124","Podiceps nigricollis","Pelophylax shqipericus"
"125","Podiceps nigricollis","Rana tavasensis"
"126","Podiceps nigricollis","Rana temporaria"
"127","Podiceps nigricollis","Pelophylax caralitanus"
"128","Fulmarus glacialis","Arvicola amphibius"
"129","Fulmarus glacialis","Arvicola sapidus"
"130","Fulmarus glacialis","Arvicola scherman"
"131","Phalacrocorax carbo","Rana temporaria"
"132","Phalacrocorax carbo","Gallinula chloropus"
"133","Phalacrocorax carbo","Hirundo rustica"
"134","Phalacrocorax carbo","Arvicola amphibius"
"135","Phalacrocorax carbo","Arvicola sapidus"
"136","Phalacrocorax carbo","Arvicola scherman"
"137","Phalacrocorax pygmaeus","Arvicola amphibius"
"138","Phalacrocorax pygmaeus","Arvicola sapidus"
"139","Phalacrocorax pygmaeus","Arvicola scherman"
"140","Ardea cinerea","Alytes cisternasii"
"141","Ardea cinerea","Alytes dickhilleni"
"142","Ardea cinerea","Alytes muletensis"
"143","Ardea cinerea","Alytes obstetricans"
"144","Ardea cinerea","Bombina bombina"
"145","Ardea cinerea","Bombina pachypus"
"146","Ardea cinerea","Bombina variegata"
"147","Ardea cinerea","Bufo bufo"
"148","Ardea cinerea","Epidalea calamita"
"149","Ardea cinerea","Bufo verrucosissimus"
"150","Ardea cinerea","Bufotes viridis"
"151","Ardea cinerea","Chioglossa lusitanica"
"152","Ardea cinerea","Discoglossus galganoi"
"153","Ardea cinerea","Discoglossus jeanneae"
"154","Ardea cinerea","Discoglossus montalentii"
"155","Ardea cinerea","Discoglossus pictus"
"156","Ardea cinerea","Discoglossus sardus"
"157","Ardea cinerea","Calotriton asper"
"158","Ardea cinerea","Hyla arborea"
"159","Ardea cinerea","Hyla intermedia"
"160","Ardea cinerea","Hyla meridionalis"
"161","Ardea cinerea","Hyla sarda"
"162","Ardea cinerea","Hyla savignyi"
"163","Ardea cinerea","Pelobates cultripes"
"164","Ardea cinerea","Pelobates fuscus"
"165","Ardea cinerea","Pelobates syriacus"
