"","Predator","Prey"
"1","Euproctus montanus","Euproctus montanus"
"2","Ichthyosaura alpestris","Bombina bombina"
"3","Ichthyosaura alpestris","Bombina pachypus"
"4","Ichthyosaura alpestris","Bombina variegata"
"5","Ichthyosaura alpestris","Bufo bufo"
"6","Ichthyosaura alpestris","Epidalea calamita"
"7","Ichthyosaura alpestris","Bufo verrucosissimus"
"8","Ichthyosaura alpestris","Bufotes viridis"
"9","Ichthyosaura alpestris","Discoglossus galganoi"
"10","Ichthyosaura alpestris","Discoglossus jeanneae"
"11","Ichthyosaura alpestris","Discoglossus montalentii"
"12","Ichthyosaura alpestris","Discoglossus pictus"
"13","Ichthyosaura alpestris","Discoglossus sardus"
"14","Ichthyosaura alpestris","Calotriton asper"
"15","Ichthyosaura alpestris","Hyla arborea"
"16","Ichthyosaura alpestris","Hyla intermedia"
"17","Ichthyosaura alpestris","Hyla meridionalis"
"18","Ichthyosaura alpestris","Hyla sarda"
"19","Ichthyosaura alpestris","Hyla savignyi"
"20","Ichthyosaura alpestris","Neurergus crocatus"
"21","Ichthyosaura alpestris","Neurergus strauchii"
"22","Ichthyosaura alpestris","Pelobates cultripes"
"23","Ichthyosaura alpestris","Pelobates fuscus"
"24","Ichthyosaura alpestris","Pelobates syriacus"
"25","Ichthyosaura alpestris","Pelodytes caucasicus"
"26","Ichthyosaura alpestris","Pelodytes ibericus"
"27","Ichthyosaura alpestris","Pelodytes punctatus"
"28","Ichthyosaura alpestris","Pleurodeles waltl"
"29","Ichthyosaura alpestris","Rana arvalis"
"30","Ichthyosaura alpestris","Pelophylax bedriagae"
"31","Ichthyosaura alpestris","Pelophylax bergeri"
"32","Ichthyosaura alpestris","Pelophylax cerigensis"
"33","Ichthyosaura alpestris","Pelophylax cretensis"
"34","Ichthyosaura alpestris","Rana dalmatina"
"35","Ichthyosaura alpestris","Pelophylax epeiroticus"
"36","Ichthyosaura alpestris","Pelophylax lessonae"
"37","Ichthyosaura alpestris","Rana graeca"
"38","Ichthyosaura alpestris","Rana iberica"
"39","Ichthyosaura alpestris","Rana italica"
"40","Ichthyosaura alpestris","Pelophylax kurtmuelleri"
"41","Ichthyosaura alpestris","Rana latastei"
"42","Ichthyosaura alpestris","Rana macrocnemis"
"43","Ichthyosaura alpestris","Pelophylax perezi"
"44","Ichthyosaura alpestris","Rana pyrenaica"
"45","Ichthyosaura alpestris","Pelophylax ridibundus"
"46","Ichthyosaura alpestris","Pelophylax shqipericus"
"47","Ichthyosaura alpestris","Rana tavasensis"
"48","Ichthyosaura alpestris","Rana temporaria"
"49","Ichthyosaura alpestris","Salamandrella keyserlingii"
"50","Ichthyosaura alpestris","Salamandrina perspicillata"
"51","Ichthyosaura alpestris","Salamandrina terdigitata"
"52","Ichthyosaura alpestris","Ichthyosaura alpestris"
"53","Ichthyosaura alpestris","Lissotriton boscai"
"54","Ichthyosaura alpestris","Triturus carnifex"
"55","Ichthyosaura alpestris","Triturus cristatus"
"56","Ichthyosaura alpestris","Triturus dobrogicus"
"57","Ichthyosaura alpestris","Lissotriton helveticus"
"58","Ichthyosaura alpestris","Lissotriton italicus"
"59","Ichthyosaura alpestris","Triturus karelinii"
"60","Ichthyosaura alpestris","Triturus marmoratus"
"61","Ichthyosaura alpestris","Lissotriton montandoni"
"62","Ichthyosaura alpestris","Triturus pygmaeus"
"63","Ichthyosaura alpestris","Ommatotriton vittatus"
"64","Ichthyosaura alpestris","Lissotriton vulgaris"
"65","Ichthyosaura alpestris","Pelophylax caralitanus"
"66","Ichthyosaura alpestris","Ommatotriton ophryticus"
"67","Ichthyosaura alpestris","Calotriton arnoldi"
"68","Ichthyosaura alpestris","Bufotes boulengeri"
"69","Ichthyosaura alpestris","Bufotes variabilis"
"70","Ichthyosaura alpestris","Triturus macedonicus"
"71","Triturus carnifex","Bombina bombina"
"72","Triturus carnifex","Bombina pachypus"
"73","Triturus carnifex","Bombina variegata"
"74","Triturus carnifex","Bufo bufo"
"75","Triturus carnifex","Epidalea calamita"
"76","Triturus carnifex","Bufo verrucosissimus"
"77","Triturus carnifex","Bufotes viridis"
"78","Triturus carnifex","Discoglossus galganoi"
"79","Triturus carnifex","Discoglossus jeanneae"
"80","Triturus carnifex","Discoglossus montalentii"
"81","Triturus carnifex","Discoglossus pictus"
"82","Triturus carnifex","Discoglossus sardus"
"83","Triturus carnifex","Calotriton asper"
"84","Triturus carnifex","Hyla arborea"
"85","Triturus carnifex","Hyla intermedia"
"86","Triturus carnifex","Hyla meridionalis"
"87","Triturus carnifex","Hyla sarda"
"88","Triturus carnifex","Hyla savignyi"
"89","Triturus carnifex","Neurergus crocatus"
"90","Triturus carnifex","Neurergus strauchii"
"91","Triturus carnifex","Pelobates cultripes"
"92","Triturus carnifex","Pelobates fuscus"
"93","Triturus carnifex","Pelobates syriacus"
"94","Triturus carnifex","Pelodytes caucasicus"
"95","Triturus carnifex","Pelodytes ibericus"
"96","Triturus carnifex","Pelodytes punctatus"
"97","Triturus carnifex","Pleurodeles waltl"
"98","Triturus carnifex","Rana arvalis"
"99","Triturus carnifex","Pelophylax bedriagae"
"100","Triturus carnifex","Pelophylax bergeri"
"101","Triturus carnifex","Pelophylax cerigensis"
"102","Triturus carnifex","Pelophylax cretensis"
