"","Species","Class","Order","Family","Genus"
"1","Discoglossus montalentii","Amphibia","Anura","Alytidae","Discoglossus"
"2","Discoglossus pictus","Amphibia","Anura","Alytidae","Discoglossus"
"3","Discoglossus sardus","Amphibia","Anura","Alytidae","Discoglossus"
"4","Calotriton asper","Amphibia","Caudata","Salamandridae","Calotriton"
"5","Euproctus montanus","Amphibia","Caudata","Salamandridae","Euproctus"
"6","Pelobates cultripes","Amphibia","Anura","Pelobatidae","Pelobates"
"7","Pleurodeles waltl","Amphibia","Caudata","Salamandridae","Pleurodeles"
"8","Pelophylax bedriagae","Amphibia","Anura","Ranidae","Pelophylax"
"9","Pelophylax bergeri","Amphibia","Anura","Ranidae","Pelophylax"
"10","Pelophylax cerigensis","Amphibia","Anura","Ranidae","Pelophylax"
"11","Pelophylax cretensis","Amphibia","Anura","Ranidae","Pelophylax"
"12","Pelophylax epeiroticus","Amphibia","Anura","Ranidae","Pelophylax"
"13","Pelophylax lessonae","Amphibia","Anura","Ranidae","Pelophylax"
"14",NA,"Amphibia","Anura","Ranidae","Pelophylax"
"15","Pelophylax kurtmuelleri","Amphibia","Anura","Ranidae","Pelophylax"
"16","Pelophylax lessonae","Amphibia","Anura","Ranidae","Pelophylax"
"17","Pelophylax ridibundus","Amphibia","Anura","Ranidae","Pelophylax"
"18","Rana temporaria","Amphibia","Anura","Ranidae","Rana"
"19","Salamandra corsica","Amphibia","Caudata","Salamandridae","Salamandra"
"20","Salamandra infraimmaculata","Amphibia","Caudata","Salamandridae","Salamandra"
"21","Salamandra salamandra","Amphibia","Caudata","Salamandridae","Salamandra"
"22","Ichthyosaura alpestris","Amphibia","Caudata","Salamandridae","Ichthyosaura"
"23","Triturus carnifex","Amphibia","Caudata","Salamandridae","Triturus"
"24","Lissotriton helveticus","Amphibia","Caudata","Salamandridae","Lissotriton"
"25","Lissotriton italicus","Amphibia","Caudata","Salamandridae","Lissotriton"
"26","Triturus marmoratus","Amphibia","Caudata","Salamandridae","Triturus"
"27","Triturus pygmaeus","Amphibia","Caudata","Salamandridae","Triturus"
"28","Ommatotriton vittatus","Amphibia","Caudata","Salamandridae","Ommatotriton"
"29","Pelophylax caralitanus","Amphibia","Anura","Ranidae","Pelophylax"
"30","Ommatotriton ophryticus","Amphibia","Caudata","Salamandridae","Ommatotriton"
"31","Gavia stellata","Aves","Gaviiformes","Gaviidae","Gavia"
"32","Gavia immer","Aves","Gaviiformes","Gaviidae","Gavia"
"33","Tachybaptus ruficollis","Aves","Podicipediformes","Podicipedidae","Tachybaptus"
"34","Podiceps cristatus","Aves","Podicipediformes","Podicipedidae","Podiceps"
"35","Podiceps grisegena","Aves","Podicipediformes","Podicipedidae","Podiceps"
"36","Podiceps nigricollis","Aves","Podicipediformes","Podicipedidae","Podiceps"
"37","Fulmarus glacialis","Aves","Procellariiformes","Procellariidae","Fulmarus"
"38","Phalacrocorax carbo","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax"
"39","Phalacrocorax pygmaeus","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax"
"40","Ardea cinerea","Aves","Pelecaniformes","Ardeidae","Ardea"
"41","Ardea purpurea","Aves","Pelecaniformes","Ardeidae","Ardea"
"42","Ardea alba","Aves","Pelecaniformes","Ardeidae","Ardea"
"43","Egretta garzetta","Aves","Pelecaniformes","Ardeidae","Egretta"
"44","Ardeola ralloides","Aves","Pelecaniformes","Ardeidae","Ardeola"
"45","Bubulcus ibis","Aves","Pelecaniformes","Ardeidae","Bubulcus"
"46","Nycticorax nycticorax","Aves","Pelecaniformes","Ardeidae","Nycticorax"
"47","Ixobrychus minutus","Aves","Pelecaniformes","Ardeidae","Ixobrychus"
"48","Botaurus stellaris","Aves","Pelecaniformes","Ardeidae","Botaurus"
"49","Ciconia nigra","Aves","Ciconiiformes","Ciconiidae","Ciconia"
"50","Ciconia ciconia","Aves","Ciconiiformes","Ciconiidae","Ciconia"
"51","Plegadis falcinellus","Aves","Pelecaniformes","Threskiornithidae","Plegadis"
"52","Platalea leucorodia","Aves","Pelecaniformes","Threskiornithidae","Platalea"
"53","Cygnus olor","Aves","Anseriformes","Anatidae","Cygnus"
"54","Tadorna ferruginea","Aves","Anseriformes","Anatidae","Tadorna"
"55","Anas penelope","Aves","Anseriformes","Anatidae","Anas"
"56","Anas strepera","Aves","Anseriformes","Anatidae","Anas"
"57","Anas platyrhynchos","Aves","Anseriformes","Anatidae","Anas"
"58","Anas acuta","Aves","Anseriformes","Anatidae","Anas"
"59","Anas querquedula","Aves","Anseriformes","Anatidae","Anas"
"60","Anas clypeata","Aves","Anseriformes","Anatidae","Anas"
"61","Netta rufina","Aves","Anseriformes","Anatidae","Netta"
"62","Aythya ferina","Aves","Anseriformes","Anatidae","Aythya"
"63","Aythya nyroca","Aves","Anseriformes","Anatidae","Aythya"
"64","Bucephala clangula","Aves","Anseriformes","Anatidae","Bucephala"
"65","Mergellus albellus","Aves","Anseriformes","Anatidae","Mergellus"
"66","Mergus serrator","Aves","Anseriformes","Anatidae","Mergus"
"67","Mergus merganser","Aves","Anseriformes","Anatidae","Mergus"
"68","Pandion haliaetus","Aves","Accipitriformes","Pandionidae","Pandion"
"69","Pernis apivorus","Aves","Accipitriformes","Accipitridae","Pernis"
"70","Elanus caeruleus","Aves","Accipitriformes","Accipitridae","Elanus"
"71","Milvus milvus","Aves","Accipitriformes","Accipitridae","Milvus"
"72","Milvus migrans","Aves","Accipitriformes","Accipitridae","Milvus"
"73","Haliaeetus albicilla","Aves","Accipitriformes","Accipitridae","Haliaeetus"
"74","Gypaetus barbatus","Aves","Accipitriformes","Accipitridae","Gypaetus"
"75","Neophron percnopterus","Aves","Accipitriformes","Accipitridae","Neophron"
"76","Aegypius monachus","Aves","Accipitriformes","Accipitridae","Aegypius"
"77","Circaetus gallicus","Aves","Accipitriformes","Accipitridae","Circaetus"
"78","Circus aeruginosus","Aves","Accipitriformes","Accipitridae","Circus"
"79","Circus cyaneus","Aves","Accipitriformes","Accipitridae","Circus"
"80","Circus macrourus","Aves","Accipitriformes","Accipitridae","Circus"
"81","Circus pygargus","Aves","Accipitriformes","Accipitridae","Circus"
"82","Accipiter brevipes","Aves","Accipitriformes","Accipitridae","Accipiter"
"83","Accipiter nisus","Aves","Accipitriformes","Accipitridae","Accipiter"
"84","Accipiter gentilis","Aves","Accipitriformes","Accipitridae","Accipiter"
"85","Buteo buteo","Aves","Accipitriformes","Accipitridae","Buteo"
"86","Buteo rufinus","Aves","Accipitriformes","Accipitridae","Buteo"
"87","Buteo lagopus","Aves","Accipitriformes","Accipitridae","Buteo"
"88","Aquila pomarina","Aves","Accipitriformes","Accipitridae","Aquila"
"89","Aquila clanga","Aves","Accipitriformes","Accipitridae","Aquila"
"90","Aquila nipalensis","Aves","Accipitriformes","Accipitridae","Aquila"
"91","Aquila adalberti","Aves","Accipitriformes","Accipitridae","Aquila"
"92","Aquila heliaca","Aves","Accipitriformes","Accipitridae","Aquila"
"93","Aquila chrysaetos","Aves","Accipitriformes","Accipitridae","Aquila"
"94","Aquila fasciata","Aves","Accipitriformes","Accipitridae","Aquila"
"95","Hieraaetus pennatus","Aves","Accipitriformes","Accipitridae","Hieraaetus"
"96","Falco naumanni","Aves","Falconiformes","Falconidae","Falco"
"97","Falco tinnunculus","Aves","Falconiformes","Falconidae","Falco"
"98","Falco vespertinus","Aves","Falconiformes","Falconidae","Falco"
"99","Falco eleonorae","Aves","Falconiformes","Falconidae","Falco"
"100","Falco columbarius","Aves","Falconiformes","Falconidae","Falco"
"101","Falco subbuteo","Aves","Falconiformes","Falconidae","Falco"
"102","Falco biarmicus","Aves","Falconiformes","Falconidae","Falco"
"103","Falco cherrug","Aves","Falconiformes","Falconidae","Falco"
"104","Falco rusticolus","Aves","Falconiformes","Falconidae","Falco"
"105","Falco peregrinus","Aves","Falconiformes","Falconidae","Falco"
"106","Lagopus muta","Aves","Galliformes","Phasianidae","Lagopus"
"107","Francolinus francolinus","Aves","Galliformes","Phasianidae","Francolinus"
"108","Phasianus colchicus","Aves","Galliformes","Phasianidae","Phasianus"
"109","Grus grus","Aves","Gruiformes","Gruidae","Grus"
"110","Rallus aquaticus","Aves","Gruiformes","Rallidae","Rallus"
"111","Crex crex","Aves","Gruiformes","Rallidae","Crex"
"112","Porphyrio porphyrio","Aves","Gruiformes","Rallidae","Porphyrio"
"113","Gallinula chloropus","Aves","Gruiformes","Rallidae","Gallinula"
"114","Fulica cristata","Aves","Gruiformes","Rallidae","Fulica"
"115","Fulica atra","Aves","Gruiformes","Rallidae","Fulica"
"116","Otis tarda","Aves","Otidiformes","Otididae","Otis"
"117","Tetrax tetrax","Aves","Otidiformes","Otididae","Tetrax"
