"","Predator","Prey"
"1","Mustela erminea","Lemmus trimucronatus"
"2","Mustela erminea","Dicrostonyx groenlandicus"
"3","Mustela erminea","Calcarius lapponicus"
"4","Mustela erminea","Plectrophenax nivalis"
"5","Mustela erminea","Eremophila alpestris"
"6","Mustela erminea","Anthus rubescens"
"7","Vulpes lagopus","Chen caerulescens"
"8","Vulpes lagopus","Lemmus trimucronatus"
"9","Vulpes lagopus","Dicrostonyx groenlandicus"
"10","Vulpes lagopus","Calidris bairdii"
"11","Vulpes lagopus","Calidris fuscicollis"
"12","Vulpes lagopus","Calidris melanotos"
"13","Vulpes lagopus","Pluvialis dominica"
"14","Vulpes lagopus","Pluvialis squatarola"
"15","Vulpes lagopus","Phalaropus fulicarius"
"16","Vulpes lagopus","Calcarius lapponicus"
"17","Vulpes lagopus","Plectrophenax nivalis"
"18","Vulpes lagopus","Eremophila alpestris"
"19","Vulpes lagopus","Anthus rubescens"
"20","Vulpes lagopus","Larus hyperboreus"
"21","Bubo scandiacus","Chen caerulescens"
"22","Bubo scandiacus","Lemmus trimucronatus"
"23","Bubo scandiacus","Dicrostonyx groenlandicus"
"24","Bubo scandiacus","Calidris bairdii"
"25","Bubo scandiacus","Calidris fuscicollis"
"26","Bubo scandiacus","Calidris melanotos"
"27","Bubo scandiacus","Pluvialis dominica"
"28","Bubo scandiacus","Pluvialis squatarola"
"29","Bubo scandiacus","Phalaropus fulicarius"
"30","Bubo scandiacus","Calcarius lapponicus"
"31","Bubo scandiacus","Plectrophenax nivalis"
"32","Bubo scandiacus","Eremophila alpestris"
"33","Bubo scandiacus","Anthus rubescens"
"34","Bubo scandiacus","Mustela erminea"
"35","Bubo scandiacus","Vulpes lagopus"
"36","Bubo scandiacus","Larus hyperboreus"
"37","Buteo lagopus","Lemmus trimucronatus"
"38","Buteo lagopus","Dicrostonyx groenlandicus"
"39","Buteo lagopus","Calcarius lapponicus"
"40","Buteo lagopus","Plectrophenax nivalis"
"41","Buteo lagopus","Eremophila alpestris"
"42","Buteo lagopus","Anthus rubescens"
"43","Buteo lagopus","Mustela erminea"
"44","Larus hyperboreus","Chen caerulescens"
"45","Larus hyperboreus","Lemmus trimucronatus"
"46","Larus hyperboreus","Dicrostonyx groenlandicus"
"47","Larus hyperboreus","Calidris bairdii"
"48","Larus hyperboreus","Calidris fuscicollis"
"49","Larus hyperboreus","Calidris melanotos"
"50","Larus hyperboreus","Pluvialis dominica"
"51","Larus hyperboreus","Pluvialis squatarola"
"52","Larus hyperboreus","Phalaropus fulicarius"
"53","Larus hyperboreus","Calcarius lapponicus"
"54","Larus hyperboreus","Plectrophenax nivalis"
"55","Larus hyperboreus","Eremophila alpestris"
"56","Larus hyperboreus","Anthus rubescens"
"57","Stercorarius longicaudus","Chen caerulescens"
"58","Stercorarius longicaudus","Lemmus trimucronatus"
"59","Stercorarius longicaudus","Dicrostonyx groenlandicus"
"60","Stercorarius longicaudus","Calcarius lapponicus"
"61","Stercorarius longicaudus","Plectrophenax nivalis"
"62","Stercorarius longicaudus","Eremophila alpestris"
"63","Stercorarius longicaudus","Anthus rubescens"
"64","Stercorarius parasiticus","Chen caerulescens"
"65","Stercorarius parasiticus","Lemmus trimucronatus"
"66","Stercorarius parasiticus","Dicrostonyx groenlandicus"
"67","Stercorarius parasiticus","Calidris bairdii"
"68","Stercorarius parasiticus","Calidris fuscicollis"
"69","Stercorarius parasiticus","Calidris melanotos"
"70","Stercorarius parasiticus","Pluvialis dominica"
"71","Stercorarius parasiticus","Pluvialis squatarola"
"72","Stercorarius parasiticus","Phalaropus fulicarius"
"73","Stercorarius parasiticus","Calcarius lapponicus"
"74","Stercorarius parasiticus","Plectrophenax nivalis"
"75","Stercorarius parasiticus","Eremophila alpestris"
"76","Stercorarius parasiticus","Anthus rubescens"
"77","Falco peregrinus","Chen caerulescens"
"78","Falco peregrinus","Lemmus trimucronatus"
"79","Falco peregrinus","Dicrostonyx groenlandicus"
"80","Falco peregrinus","Calidris bairdii"
"81","Falco peregrinus","Calidris fuscicollis"
"82","Falco peregrinus","Calidris melanotos"
"83","Falco peregrinus","Pluvialis dominica"
"84","Falco peregrinus","Pluvialis squatarola"
"85","Falco peregrinus","Phalaropus fulicarius"
"86","Falco peregrinus","Calcarius lapponicus"
"87","Falco peregrinus","Plectrophenax nivalis"
"88","Falco peregrinus","Eremophila alpestris"
"89","Falco peregrinus","Anthus rubescens"
