"","Species","Class","Order","Family","Genus"
"1","Chen caerulescens","Aves","Anseriformes","Anatidae","Chen"
"2","Lemmus trimucronatus","Mammalia","Rodentia","Cricetidae","Lemmus"
"3","Dicrostonyx groenlandicus","Mammalia","Rodentia","Cricetidae","Dicrostonyx"
"4","Calidris bairdii","Aves","Charadriiformes","Scolopacidae","Calidris"
"5","Calidris fuscicollis","Aves","Charadriiformes","Scolopacidae","Calidris"
"6","Calidris melanotos","Aves","Charadriiformes","Scolopacidae","Calidris"
"7","Pluvialis dominica","Aves","Charadriiformes","Charadriidae","Pluvialis"
"8","Pluvialis squatarola","Aves","Charadriiformes","Charadriidae","Pluvialis"
"9","Phalaropus fulicarius","Aves","Charadriiformes","Scolopacidae","Phalaropus"
"10","Calcarius lapponicus","Aves","Passeriformes","Calcariidae","Calcarius"
"11","Plectrophenax nivalis","Aves","Passeriformes","Calcariidae","Plectrophenax"
"12","Eremophila alpestris","Aves","Passeriformes","Alaudidae","Eremophila"
"13","Anthus rubescens","Aves","Passeriformes","Motacillidae","Anthus"
"14","Mustela erminea","Mammalia","Carnivora","Mustelidae","Mustela"
"15","Vulpes lagopus","Mammalia","Carnivora","Canidae","Vulpes"
"16","Bubo scandiacus","Aves","Strigiformes","Strigidae","Bubo"
"17","Buteo lagopus","Aves","Accipitriformes","Accipitridae","Buteo"
"18","Larus hyperboreus","Aves","Charadriiformes","Laridae","Larus"
"19","Stercorarius longicaudus","Aves","Charadriiformes","Stercorariidae","Stercorarius"
"20","Stercorarius parasiticus","Aves","Charadriiformes","Stercorariidae","Stercorarius"
"21","Falco peregrinus","Aves","Falconiformes","Falconidae","Falco"
