"","Species","Class","Order","Family","Genus"
"1","Phrynobatrachus mababiensis","Amphibia","Anura","Phrynobatrachidae","Phrynobatrachus"
"2","Afrixalus stuhlmanni","Amphibia","Anura","Hyperoliidae","Afrixalus"
"3","Hyperolius nasutus","Amphibia","Anura","Hyperoliidae","Hyperolius"
"4","Afrixalus quadrivittatus","Amphibia","Anura","Hyperoliidae","Afrixalus"
"5","Hyperolius glandicolor","Amphibia","Anura","Hyperoliidae","Hyperolius"
"6","Phrynobatrachus acridoides","Amphibia","Anura","Phrynobatrachidae","Phrynobatrachus"
"7","Hemisus marmoratus","Amphibia","Anura","Hemisotidae","Hemisus"
"8","Phrynomantis bifasciatus","Amphibia","Anura","Microhylidae","Phrynomantis"
"9","Kassina senegalensis","Amphibia","Anura","Hyperoliidae","Kassina"
"10","Leptopelis bocagii","Amphibia","Anura","Arthroleptidae","Leptopelis"
"11","Ptychadena anchietae","Amphibia","Anura","Ptychadenidae","Ptychadena"
"12","Sclerophrys gutturalis","Amphibia","Anura","Bufonidae","Sclerophrys"
"13","Amnirana galamensis","Amphibia","Anura","Ranidae","Amnirana"
"14","Schismaderma carens","Amphibia","Anura","Bufonidae","Schismaderma"
"15","Ptychadena mascareniensis","Amphibia","Anura","Ptychadenidae","Ptychadena"
"16",NA,"Mammalia","Soricomorpha","Soricidae","Crocidura"
"17","Afronycteris nanus","Mammalia","Chiroptera","Vespertilionidae","Afronycteris"
"18","Coleura afra","Mammalia","Chiroptera","Emballonuridae","Coleura"
"19","Pseudoromicia tenuipinnis","Mammalia","Chiroptera","Vespertilionidae","Pseudoromicia"
"20","Kerivoula lanosa","Mammalia","Chiroptera","Vespertilionidae","Kerivoula"
"21","Myotis bocagii","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"22","Nycticeinops schlieffenii","Mammalia","Chiroptera","Vespertilionidae","Nycticeinops"
"23","Nycteris hispida","Mammalia","Chiroptera","Nycteridae","Nycteris"
"24","Scotoecus albofuscus","Mammalia","Chiroptera","Vespertilionidae","Scotoecus"
"25","Mimetillus moloneyi","Mammalia","Chiroptera","Vespertilionidae","Mimetillus"
"26","Myotis tricolor","Mammalia","Chiroptera","Vespertilionidae","Myotis"
"27","Laephotis wintoni","Mammalia","Chiroptera","Vespertilionidae","Laephotis"
"28","Nycteris macrotis","Mammalia","Chiroptera","Nycteridae","Nycteris"
"29","Chaerephon pumilus","Mammalia","Chiroptera","Molossidae","Chaerephon"
"30","Glauconycteris variegata","Mammalia","Chiroptera","Vespertilionidae","Glauconycteris"
"31","Pseudoromicia rendalli","Mammalia","Chiroptera","Vespertilionidae","Pseudoromicia"
"33","Miniopterus inflatus","Mammalia","Chiroptera","Miniopteridae","Miniopterus"
"34","Vansonia rueppellii","Mammalia","Chiroptera","Vespertilionidae","Vansonia"
"35","Scotoecus hirundo","Mammalia","Chiroptera","Vespertilionidae","Scotoecus"
"36","Kerivoula argentata","Mammalia","Chiroptera","Vespertilionidae","Kerivoula"
"37","Nycteris thebaica","Mammalia","Chiroptera","Nycteridae","Nycteris"
"38","Glauconycteris argentata","Mammalia","Chiroptera","Vespertilionidae","Glauconycteris"
"39","Taphozous mauritianus","Mammalia","Chiroptera","Emballonuridae","Taphozous"
"40","Chaerephon major","Mammalia","Chiroptera","Molossidae","Chaerephon"
"41","Chaerephon bemmeleni","Mammalia","Chiroptera","Molossidae","Chaerephon"
"42","Cardioderma cor","Mammalia","Chiroptera","Megadermatidae","Cardioderma"
"43","Scotophilus leucogaster","Mammalia","Chiroptera","Vespertilionidae","Scotophilus"
"44","Scotophilus nigrita","Mammalia","Chiroptera","Vespertilionidae","Scotophilus"
"45","Lavia frons","Mammalia","Chiroptera","Megadermatidae","Lavia"
"46","Otomops martiensseni","Mammalia","Chiroptera","Molossidae","Otomops"
"47","Mops condylurus","Mammalia","Chiroptera","Molossidae","Mops"
"48","Taphozous nudiventris","Mammalia","Chiroptera","Emballonuridae","Taphozous"
"49","Tadarida fulminans","Mammalia","Chiroptera","Molossidae","Tadarida"
"50","Hipposideros caffer","Mammalia","Chiroptera","Hipposideridae","Hipposideros"
"51","Macronycteris commersonii","Mammalia","Chiroptera","Hipposideridae","Macronycteris"
"52","Empidonax wrightii","Aves","Passeriformes","Tyrannidae","Empidonax"
"53","Terpsiphone viridis","Aves","Passeriformes","Monarchidae","Terpsiphone"
"54","Cecropis abyssinica","Aves","Passeriformes","Hirundinidae","Cecropis"
"55","Merops pusillus","Aves","Coraciiformes","Meropidae","Merops"
"56","Apus affinis","Aves","Apodiformes","Apodidae","Apus"
"57","Ptyonoprogne fuligula","Aves","Passeriformes","Hirundinidae","Ptyonoprogne"
"58","Motacilla aguimp","Aves","Passeriformes","Motacillidae","Motacilla"
"59","Vanellus coronatus","Aves","Charadriiformes","Charadriidae","Vanellus"
"60","Apalis flavida","Aves","Passeriformes","Cisticolidae","Apalis"
"61","Prinia subflava","Aves","Passeriformes","Cisticolidae","Prinia"
"62","Cinnyris mariquensis","Aves","Passeriformes","Nectariniidae","Cinnyris"
"63","Eremopterix leucopareia","Aves","Passeriformes","Alaudidae","Eremopterix"
"64","Cisticola chiniana","Aves","Passeriformes","Cisticolidae","Cisticola"
"65","Passer griseus","Aves","Passeriformes","Passeridae","Passer"
"66","Mirafra rufocinnamomea","Aves","Passeriformes","Alaudidae","Mirafra"
"67","Pycnonotus barbatus","Aves","Passeriformes","Pycnonotidae","Pycnonotus"
"68","Oenanthe pileata","Aves","Passeriformes","Muscicapidae","Oenanthe"
"69","Trachyphonus darnaudii","Aves","Piciformes","Lybiidae","Trachyphonus"
"70","Tricholaema diademata","Aves","Piciformes","Lybiidae","Tricholaema"
"71","Thamnolaea cinnamomeiventris","Aves","Passeriformes","Muscicapidae","Thamnolaea"
"72","Myrmecocichla nigra","Aves","Passeriformes","Muscicapidae","Myrmecocichla"
"73","Caprimulgus poliocephalus","Aves","Caprimulgiformes","Caprimulgidae","Caprimulgus"
"74","Mirafra africana","Aves","Passeriformes","Alaudidae","Mirafra"
"75","Lybius leucocephalus","Aves","Piciformes","Lybiidae","Lybius"
"76","Lamprotornis superbus","Aves","Passeriformes","Sturnidae","Lamprotornis"
"77","Bubalornis niger","Aves","Passeriformes","Ploceidae","Bubalornis"
"78","Lamprotornis purpuroptera","Aves","Passeriformes","Sturnidae","Lamprotornis"
"79","Lamprotornis chalybaeus","Aves","Passeriformes","Sturnidae","Lamprotornis"
"80","Spilopelia senegalensis","Aves","Columbiformes","Columbidae","Spilopelia"
"81","Eremomela icteropygialis","Aves","Passeriformes","Cisticolidae","Eremomela"
"82","Parus fringillinus","Aves","Passeriformes","Paridae","Parus"
"83","Nilaus afer","Aves","Passeriformes","Malaconotidae","Nilaus"
"84","Empidornis semipartitus","Aves","Passeriformes","Muscicapidae","Empidornis"
"85","Anaplectes rubriceps","Aves","Passeriformes","Ploceidae","Anaplectes"
"86","Dicrurus ludwigii","Aves","Passeriformes","Dicruridae","Dicrurus"
"87","Passer motitensis","Aves","Passeriformes","Passeridae","Passer"
"88","Anthus richardi","Aves","Passeriformes","Motacillidae","Anthus"
"89","Tchagra australis","Aves","Passeriformes","Malaconotidae","Tchagra"
"90","Macronyx ameliae","Aves","Passeriformes","Motacillidae","Macronyx"
"91","Dicrurus adsimilis","Aves","Passeriformes","Dicruridae","Dicrurus"
"92","Laniarius funebris","Aves","Passeriformes","Malaconotidae","Laniarius"
"93","Halcyon chelicuti","Aves","Coraciiformes","Alcedinidae","Halcyon"
"94","Dendropicos goertae","Aves","Piciformes","Picidae","Dendropicos"
"95","Macronyx croceus","Aves","Passeriformes","Motacillidae","Macronyx"
"96","Indicator indicator","Aves","Piciformes","Indicatoridae","Indicator"
"97","Lanius excubitoroides","Aves","Passeriformes","Laniidae","Lanius"
"98","Lamprotornis hildebrandti","Aves","Passeriformes","Sturnidae","Lamprotornis"
"99","Upupa epops","Aves","Bucerotiformes","Upupidae","Upupa"
"100","Dinemellia dinemelli","Aves","Passeriformes","Ploceidae","Dinemellia"
"101","Eurocephalus anguitimens","Aves","Passeriformes","Laniidae","Eurocephalus"
"102","Phoeniculus purpureus","Aves","Bucerotiformes","Phoeniculidae","Phoeniculus"
"103","Urolestes melanoleucus","Aves","Passeriformes","Laniidae","Urolestes"
"104","Sylvietta whytii","Aves","Passeriformes","Macrosphenidae","Sylvietta"
"105","Chalcomitra senegalensis","Aves","Passeriformes","Nectariniidae","Chalcomitra"
"106","Colius striatus","Aves","Coliiformes","Coliidae","Colius"
"107","Tauraco schalowi","Aves","Musophagiformes","Musophagidae","Tauraco"
"108","Corythaixoides personatus","Aves","Musophagiformes","Musophagidae","Corythaixoides"
"109","Charadrius tricollaris","Aves","Charadriiformes","Charadriidae","Charadrius"
"110","Charadrius pecuarius","Aves","Charadriiformes","Charadriidae","Charadrius"
"111","Vanellus armatus","Aves","Charadriiformes","Charadriidae","Vanellus"
"112","Epomophorus pusillus","Mammalia","Chiroptera","Pteropodidae","Epomophorus"
"113","Epomophorus labiatus","Mammalia","Chiroptera","Pteropodidae","Epomophorus"
"114","Rousettus aegyptiacus","Mammalia","Chiroptera","Pteropodidae","Rousettus"
"115","Steatomys pratensis","Mammalia","Rodentia","Nesomyidae","Steatomys"
"116","Lemniscomys barbarus","Mammalia","Rodentia","Muridae","Lemniscomys"
"117","Rhabdomys pumilio","Mammalia","Rodentia","Muridae","Rhabdomys"
"118","Lemniscomys striatus","Mammalia","Rodentia","Muridae","Lemniscomys"
"119","Acomys wilsoni","Mammalia","Rodentia","Muridae","Acomys"
"120","Grammomys dolichurus","Mammalia","Rodentia","Muridae","Grammomys"
"121","Lemniscomys griselda","Mammalia","Rodentia","Muridae","Lemniscomys"
"122","Thallomys paedulcus","Mammalia","Rodentia","Muridae","Thallomys"
"123","Dipodillus harwoodi","Mammalia","Rodentia","Muridae","Dipodillus"
"124","Otomys angoniensis","Mammalia","Rodentia","Muridae","Otomys"
"125","Aethomys chrysophilus","Mammalia","Rodentia","Muridae","Aethomys"
"126","Aethomys kaiseri","Mammalia","Rodentia","Muridae","Aethomys"
"127","Arvicanthis niloticus","Mammalia","Rodentia","Muridae","Arvicanthis"
"128","Rattus rattus","Mammalia","Rodentia","Muridae","Rattus"
"129","Lepus capensis","Mammalia","Lagomorpha","Leporidae","Lepus"
"130","Pedetes capensis","Mammalia","Rodentia","Pedetidae","Pedetes"
"131","Heliophobius argenteocinereus","Mammalia","Rodentia","Bathyergidae","Heliophobius"
"132","Tachyoryctes splendens","Mammalia","Rodentia","Spalacidae","Tachyoryctes"
