"","Species","Trophic_level","Diel_activity","Habitat_breadth_IUCN","Artificial_habitat_use","Forest","Savanna","Shrubland","Grassland","Wetland","Rocky.areas","Caves.and.subterranean","Desert","Marine","Marine.intertidal.or.coastal.supratidal","Artificial","Introduced.vegetation","Other.Unknown","Class","Order","Family","Genus","Body_mass_g","Maturity_d","Max_longevity_d","Litter_clutch_size"
"1","Alytes cisternasii","Carnivore","Nocturnal",7,"TRUE","1","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Alytidae","Alytes",6.1,730.5,2191.5,150
"2","Alytes dickhilleni","Carnivore","Nocturnal",6,"TRUE","1","0","0","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Alytidae","Alytes",6.88665333333333,730.5,3730.31764972527,40
"3","Alytes muletensis","Carnivore","Nocturnal",4,"TRUE","0","0","0","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Alytidae","Alytes",2.31,1095.75,3808.48114972527,13.5
"4","Alytes obstetricans","Carnivore","Other",11,"TRUE","1","0","1","0","1","0","0","1","0","0","1","0","0","Amphibia","Anura","Alytidae","Alytes",13.4,730.5,2556.75,131
"5","Bombina bombina","Carnivore","Other",12,"TRUE","1","0","0","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Bombinatoridae","Bombina",5.9,365.25,7305,190
"6","Bombina pachypus","Carnivore","Other",11,"TRUE","1","0","0","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Bombinatoridae","Bombina",12.36142,1095.75,5844,300
"7","Bombina variegata","Carnivore","Other",18,"TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Bombinatoridae","Bombina",6.77,547.875,10592.25,90
"8","Bufo bufo","Carnivore","Other",26,"TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Bufonidae","Bufo",164.75,730.5,14610,5383
"9","Bufo verrucosissimus","Carnivore","Other",6,"TRUE","1","0","0","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Bufonidae","Bufo",106.282786666667,730.5,3652.5,5345
"10","Bufotes balearicus","Carnivore","Other",14.9620593964859,"TRUE","1","1","1","1","1","0","0","1","0","0","1","0","0","Amphibia","Anura","Bufonidae","Bufotes",64.45832,552.922090909091,6020.3991902972,12535.1268315296
"11","Bufotes boulengeri","Carnivore","Other",14.9620593964859,"TRUE","1","1","1","1","1","0","0","1","0","0","1","0","0","Amphibia","Anura","Bufonidae","Bufotes",64.45832,552.922090909091,6020.3991902972,12535.1268315296
"12","Bufotes siculus","Carnivore","Other",15.0770593964859,"TRUE","1","1","1","1","1","0","0","1","0","0","1","0","0","Amphibia","Anura","Bufonidae","Bufotes",61.3527866666667,613.188340909091,6048.50019711538,10528.8518315296
"13","Bufotes variabilis","Carnivore","Other",14.9620593964859,"TRUE","1","1","1","1","1","0","0","1","0","0","1","0","0","Amphibia","Anura","Bufonidae","Bufotes",64.45832,552.922090909091,6020.3991902972,12535.1268315296
"14","Bufotes viridis","Carnivore","Other",14.952297491724,"TRUE","1","1","1","1","1","0","0","1","0","0","1","0","0","Amphibia","Anura","Bufonidae","Bufotes",75,365.25,5478.75,18402.5
"15","Calotriton arnoldi","Carnivore","Nocturnal",2,"FALSE","1","0","0","0","1","0","0","0","0","0","0","0","0","Amphibia","Caudata","Salamandridae","Calotriton",12.2548416666667,976.617625,7001.33743818681,20
"16","Calotriton asper","Carnivore","Nocturnal",7,"FALSE","1","0","0","0","1","0","1","0","0","0","0","0","0","Amphibia","Caudata","Salamandridae","Calotriton",7.1,730.5,9496.5,25
"17","Chioglossa lusitanica","Carnivore","Nocturnal",7,"FALSE","1","0","1","0","1","0","1","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Chioglossa",4.2,1461,2922,20
"18","Discoglossus galganoi","Carnivore","Other",10,"TRUE","1","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Alytidae","Discoglossus",21.8,1095.75,3287.25,900
"19","Discoglossus jeanneae","Carnivore","Other",8,"TRUE","1","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Alytidae","Discoglossus",21.2899071794872,1145.76895833333,3321.985275,1500
"20","Discoglossus montalentii","Carnivore","Other",3,"FALSE","1","0","0","0","1","0","0","0","0","0","0","0","0","Amphibia","Anura","Alytidae","Discoglossus",18.296745,1067.2605,3668.85450357143,1000
"21","Discoglossus pictus","Carnivore","Other",13,"TRUE","1","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Alytidae","Discoglossus",22.05,1461,3714.263775,755
"22","Discoglossus sardus","Carnivore","Other",5,"FALSE","1","0","0","0","1","0","0","0","0","0","0","0","0","Amphibia","Anura","Alytidae","Discoglossus",18.9109916666666,1095.75,3618.81525357143,1000
"23","Epidalea calamita","Carnivore","Nocturnal",16,"TRUE","1","0","1","1","1","0","0","1","0","0","1","0","0","Amphibia","Anura","Bufonidae","Epidalea",62.7,1095.75,6209.25,3450
"24","Euproctus montanus","Carnivore","Nocturnal",5,"FALSE","1","0","1","0","1","0","0","0","0","0","0","0","0","Amphibia","Caudata","Salamandridae","Euproctus",2.5,1095.75,5222.66827472527,60
"25","Euproctus platycephalus","Carnivore","Other",10,"TRUE","1","0","1","0","1","0","1","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Euproctus",5.1,913.125,5383.21371153846,220
"26","Hyla arborea","Carnivore","Other",24.985369047619,"TRUE","1","0","1","1","1","0","0","1","0","0","1","1","0","Amphibia","Anura","Hylidae","Hyla",17.0155666666667,679.551973214286,6034.19379166667,1764.38979166667
"27","Hyla intermedia","Carnivore","Other",7,"FALSE","1","0","0","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Hylidae","Hyla",6.27,365.25,3700.25604220779,1400
"28","Hyla meridionalis","Omnivore","Nocturnal",9,"FALSE","1","0","1","1","1","0","0","1","0","0","0","0","0","Amphibia","Anura","Hylidae","Hyla",3.11,365.25,4339.90010470779,900
"29","Hyla sarda","Carnivore","Other",7,"TRUE","1","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Hylidae","Hyla",4,365.25,1826.25,625
"30","Hyla savignyi","Carnivore","Other",35,"TRUE","1","0","1","1","1","0","0","1","0","0","1","1","0","Amphibia","Anura","Hylidae","Hyla",9.5,730.5,8035.5,850
"31","Ichthyosaura alpestris","Carnivore","Other",15,"TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Ichthyosaura",3.9,730.5,7305,131.5
"32","Lissotriton boscai","Omnivore","Nocturnal",15,"TRUE","1","0","1","0","1","0","0","0","0","0","1","1","0","Amphibia","Caudata","Salamandridae","Lissotriton",1.77,1095.75,2922,250
"33","Lissotriton helveticus","Carnivore","Nocturnal",18,"TRUE","1","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Lissotriton",1.8,730.5,4017.75,460
"34","Lissotriton italicus","Carnivore","Nocturnal",13,"TRUE","1","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Lissotriton",0.98,884.407608974359,4757.80570260989,400
"35","Lissotriton montandoni","Carnivore","Other",9,"TRUE","1","0","0","0","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Lissotriton",2.6,1095.75,5115.56807760989,250
"36","Lissotriton vulgaris","Carnivore","Nocturnal",13.1212620320856,"TRUE","1","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Lissotriton",3.1,730.5,7305,300
"37","Lyciasalamandra antalyana","Carnivore","Nocturnal",3,"FALSE","1","0","1","0","0","1","0","0","0","0","0","0","0","Amphibia","Caudata","Salamandridae","Lyciasalamandra",11.2718330952381,1060.44032589286,4982.67373818681,280.192833333333
"38","Lyciasalamandra atifi","Carnivore","Nocturnal",2,"FALSE","1","0","0","0","0","1","0","0","0","0","0","0","0","Amphibia","Caudata","Salamandridae","Lyciasalamandra",10.7319780952381,1097.87845089286,5323.52222857143,193.146083333333
"39","Lyciasalamandra billae","Carnivore","Nocturnal",9.64644767977121,"TRUE","1","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Lyciasalamandra",12.8202158050283,951.608536057692,4937.67493818681,467.013041666667
"40","Lyciasalamandra fazilae","Carnivore","Nocturnal",2,"FALSE","1","0","1","0","0","0","0","0","0","0","0","0","0","Amphibia","Caudata","Salamandridae","Lyciasalamandra",11.9301930952381,1075.00684375,4830.72973818681,260.612333333333
"41","Lyciasalamandra flavimembris","Carnivore","Nocturnal",2,"FALSE","1","0","1","0","0","0","0","0","0","0","0","0","0","Amphibia","Caudata","Salamandridae","Lyciasalamandra",12.6141930952381,1076.83309375,4983.77885357143,457.612333333333
"42","Lyciasalamandra helverseni","Carnivore","Nocturnal",2,"FALSE","0","0","1","0","0","1","0","0","0","0","0","0","0","Amphibia","Caudata","Salamandridae","Lyciasalamandra",18.7842616666667,1095.75,5167.12498818681,294.067833333333
"43","Lyciasalamandra luschani","Carnivore","Nocturnal",2,"FALSE","1","0","1","0","0","0","0","0","0","0","0","0","0","Amphibia","Caudata","Salamandridae","Lyciasalamandra",7.8,1095.75,3652.5,2
"44","Mertensiella caucasica","Carnivore","Other",2,"FALSE","1","0","0","0","1","0","0","0","0","0","0","0","0","Amphibia","Caudata","Salamandridae","Mertensiella",9.8,1461,9496.5,474.846333333333
"45","Neurergus crocatus","Carnivore","Other",10.4551576364812,"TRUE","1","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Neurergus",26.018216941392,902.396171474359,5682.05145829171,852.973333333333
"46","Neurergus strauchii","Carnivore","Other",1,"FALSE","0","0","0","0","1","0","0","0","0","0","0","0","0","Amphibia","Caudata","Salamandridae","Neurergus",41.493,1029.700625,6366.00975374625,1320.1835
"47","Ommatotriton ophryticus","Carnivore","Other",17,"TRUE","1","0","0","1","1","0","1","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Ommatotriton",12.45765,779.215608974359,5844,572.855267857143
"48","Ommatotriton vittatus","Carnivore","Other",17,"TRUE","1","0","0","1","1","0","1","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Ommatotriton",8.1,730.5,5844,772.485625
"49","Pelobates cultripes","Carnivore","Nocturnal",7,"TRUE","1","0","1","0","1","0","0","1","0","0","1","0","0","Amphibia","Anura","Pelobatidae","Pelobates",40,730.5,5478.75,2500
"50","Pelobates fuscus","Carnivore","Nocturnal",17,"TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Pelobatidae","Pelobates",29.4,547.875,4017.75,1631.25
"51","Pelobates syriacus","Carnivore","Other",15,"TRUE","1","0","1","1","1","0","0","1","0","0","1","0","0","Amphibia","Anura","Pelobatidae","Pelobates",46.1571057142857,730.5,5184.24049615385,5500
"52","Pelodytes caucasicus","Carnivore","Nocturnal",7,"FALSE","1","0","1","0","1","0","0","0","0","0","0","0","0","Amphibia","Anura","Pelodytidae","Pelodytes",8.88889916666666,544.2225,3287.25,415
"53","Pelodytes ibericus","Carnivore","Other",11,"FALSE","1","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Pelodytidae","Pelodytes",4.87,365.25,3368.49010182318,223.75
"54","Pelodytes punctatus","Carnivore","Nocturnal",4,"FALSE","0","0","0","0","1","0","0","0","0","0","0","0","0","Amphibia","Anura","Pelodytidae","Pelodytes",3.03,365.25,3652.5,835
"55","Pelophylax bedriagae","Carnivore","Other",22,"TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Ranidae","Pelophylax",78.108039047619,730.5,4349.39589318182,10500
"56","Pelophylax bergeri","Carnivore","Nocturnal",7,"FALSE","0","0","0","0","1","0","0","0","0","0","0","0","0","Amphibia","Anura","Ranidae","Pelophylax",44.3908473809524,623.542625,3596.2028,3000
"57","Pelophylax caralitanus","Carnivore","Other",19,"TRUE","1","0","1","1","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Ranidae","Pelophylax",135,1095.75,3652.5,6970.77372619047
"58","Pelophylax cerigensis","Carnivore","Other",9,"TRUE","0","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Ranidae","Pelophylax",51.4036057142857,653.3105,3047.9869,15000
"59","Pelophylax cretensis","Carnivore","Other",9,"TRUE","0","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Ranidae","Pelophylax",52.6635057142857,671.93825,3112.2709,15000
"60","Pelophylax epeiroticus","Carnivore","Other",6,"TRUE","0","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Ranidae","Pelophylax",59.02,365.25,1826.25,2575
"61","Pelophylax kurtmuelleri","Carnivore","Other",13,"TRUE","0","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Ranidae","Pelophylax",62.6521723809524,730.5,3792.51139318182,10000
"62","Pelophylax lessonae","Carnivore","Other",23,"TRUE","1","0","1","1","1","0","0","0","0","0","1","1","0","Amphibia","Anura","Ranidae","Pelophylax",75.4,730.5,3652.5,3000
"63","Pelophylax perezi","Carnivore","Other",12,"FALSE","1","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Anura","Ranidae","Pelophylax",31.8,365.25,2483.7,10000
"64","Pelophylax ridibundus","Carnivore","Other",35,"TRUE","1","0","1","1","1","0","1","1","1","1","1","1","0","Amphibia","Anura","Ranidae","Pelophylax",75.4,365.25,4383,4017.5
"65","Pelophylax shqipericus","Carnivore","Other",4,"FALSE","0","0","0","0","1","0","0","0","0","0","0","0","0","Amphibia","Anura","Ranidae","Pelophylax",43.1052416666667,645.092375,3359.73995,2395
"66","Pleurodeles waltl","Carnivore","Nocturnal",9,"TRUE","0","0","1","0","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Salamandridae","Pleurodeles",25.8,547.875,7122.375,775
"67","Proteus anguinus","Carnivore","Other",2,"TRUE","0","0","0","0","1","0","0","0","0","0","1","0","0","Amphibia","Caudata","Proteidae","Proteus",17,2556.75,4383,70
