"","Predator","Prey"
"1","Sus scrofa","Salamandra salamandra"
"2","Accipiter gentilis","Anguis fragilis"
"3","Falco tinnunculus","Anguis fragilis"
"4","Buteo buteo","Anguis fragilis"
"5","Vipera aspis","Sorex coronatus"
"6","Circus pygargus","Sorex coronatus"
"7","Vulpes vulpes","Talpa europaea"
"8","Martes martes","Talpa europaea"
"9","Mustela nivalis","Talpa europaea"
"10","Aquila chrysaetos","Talpa europaea"
"11","Buteo buteo","Talpa europaea"
"12","Vulpes vulpes","Vulpes vulpes"
"13","Aquila chrysaetos","Vulpes vulpes"
"14","Vulpes vulpes","Arvicola amphibius"
"15","Ursus arctos","Arvicola amphibius"
"16","Mustela erminea","Arvicola amphibius"
"17","Martes martes","Arvicola amphibius"
"18","Mustela putorius","Arvicola amphibius"
"19","Meles meles","Arvicola amphibius"
"20","Mustela nivalis","Arvicola amphibius"
"21","Aegolius funereus","Arvicola amphibius"
"22","Aquila chrysaetos","Arvicola amphibius"
"23","Falco tinnunculus","Arvicola amphibius"
"24","Buteo buteo","Arvicola amphibius"
"25","Vulpes vulpes","Apodemus sylvaticus"
"26","Martes martes","Apodemus sylvaticus"
"27","Meles meles","Apodemus sylvaticus"
"28","Genetta genetta","Apodemus sylvaticus"
"29","Mustela nivalis","Apodemus sylvaticus"
"30","Aegolius funereus","Apodemus sylvaticus"
"31","Aquila chrysaetos","Apodemus sylvaticus"
"32","Falco tinnunculus","Apodemus sylvaticus"
"33","Sus scrofa","Apodemus sylvaticus"
"34","Circaetus gallicus","Apodemus sylvaticus"
"35","Buteo buteo","Apodemus sylvaticus"
"36","Vulpes vulpes","Arvicola sapidus"
"37","Mustela erminea","Arvicola sapidus"
"38","Meles meles","Arvicola sapidus"
"39","Genetta genetta","Arvicola sapidus"
"40","Ursus arctos","Ursus arctos"
"41","Vulpes vulpes","Apodemus flavicollis"
"42","Mustela erminea","Apodemus flavicollis"
"43","Martes martes","Apodemus flavicollis"
"44","Mustela nivalis","Apodemus flavicollis"
"45","Aegolius funereus","Apodemus flavicollis"
"46","Buteo buteo","Apodemus flavicollis"
"47","Vulpes vulpes","Mustela erminea"
"48","Aquila chrysaetos","Mustela erminea"
"49","Falco tinnunculus","Mustela erminea"
"50","Coronella austriaca","Zootoca vivipara"
"51","Falco tinnunculus","Zootoca vivipara"
"52","Falco tinnunculus","Lacerta bilineata"
"53","Circaetus gallicus","Lacerta bilineata"
"54","Buteo buteo","Lacerta bilineata"
"55","Circaetus gallicus","Natrix maura"
"56","Buteo buteo","Natrix maura"
"57","Ursus arctos","Rupicapra pyrenaica"
"58","Aquila chrysaetos","Rupicapra pyrenaica"
"59","Sus scrofa","Cervus elaphus"
"60","Milvus milvus","Cervus elaphus"
"61","Martes martes","Martes foina"
"62","Felis silvestris","Martes foina"
"63","Aquila chrysaetos","Martes foina"
"64","Vulpes vulpes","Martes martes"
"65","Aquila chrysaetos","Martes martes"
"66","Martes foina","Sciurus vulgaris"
"67","Martes martes","Sciurus vulgaris"
"68","Felis silvestris","Sciurus vulgaris"
"69","Accipiter gentilis","Sciurus vulgaris"
"70","Aquila chrysaetos","Sciurus vulgaris"
"71","Buteo buteo","Sciurus vulgaris"
"72","Aquila chrysaetos","Felis silvestris"
"73","Buteo buteo","Coronella austriaca"
"74","Natrix maura","Bufo bufo"
"75","Martes martes","Bufo bufo"
"76","Mustela putorius","Bufo bufo"
"77","Meles meles","Bufo bufo"
"78","Accipiter gentilis","Bufo bufo"
"79","Circaetus gallicus","Bufo bufo"
"80","Buteo buteo","Bufo bufo"
"81","Aquila chrysaetos","Hierophis viridiflavus"
"82","Buteo buteo","Hierophis viridiflavus"
"83","Coronella austriaca","Podarcis muralis"
"84","Aquila chrysaetos","Podarcis muralis"
"85","Falco tinnunculus","Podarcis muralis"
"86","Lanius meridionalis","Podarcis muralis"
"87","Pica pica","Podarcis muralis"
"88","Circaetus gallicus","Podarcis muralis"
"89","Garrulus glandarius","Podarcis muralis"
"90","Buteo buteo","Podarcis muralis"
"91","Natrix maura","Rana temporaria"
"92","Vipera aspis","Rana temporaria"
"93","Meles meles","Rana temporaria"
"94","Accipiter gentilis","Rana temporaria"
"95","Falco tinnunculus","Rana temporaria"
"96","Coronella austriaca","Vipera aspis"
"97","Accipiter nisus","Numenius arquata"
