"","Species","Class","Order","Family","Genus"
"1","Salamandra salamandra","Amphibia","Caudata","Salamandridae","Salamandra"
"2","Anguis fragilis","Reptilia","Squamata","Anguidae","Anguis"
"3","Sorex coronatus","Mammalia","Soricomorpha","Soricidae","Sorex"
"4","Talpa europaea","Mammalia","Soricomorpha","Talpidae","Talpa"
"5","Vulpes vulpes","Mammalia","Carnivora","Canidae","Vulpes"
"6","Arvicola amphibius","Mammalia","Rodentia","Cricetidae","Arvicola"
"7","Apodemus sylvaticus","Mammalia","Rodentia","Muridae","Apodemus"
"8","Arvicola sapidus","Mammalia","Rodentia","Cricetidae","Arvicola"
"9","Ursus arctos","Mammalia","Carnivora","Ursidae","Ursus"
"10","Apodemus flavicollis","Mammalia","Rodentia","Muridae","Apodemus"
"11","Mustela erminea","Mammalia","Carnivora","Mustelidae","Mustela"
"12","Zootoca vivipara","Reptilia","Squamata","Lacertidae","Zootoca"
"13","Lacerta bilineata","Reptilia","Squamata","Lacertidae","Lacerta"
"14","Natrix maura","Reptilia","Squamata","Colubridae","Natrix"
"15","Rupicapra pyrenaica","Mammalia","Artiodactyla","Bovidae","Rupicapra"
"16","Cervus elaphus","Mammalia","Artiodactyla","Cervidae","Cervus"
"17","Martes foina","Mammalia","Carnivora","Mustelidae","Martes"
"18","Martes martes","Mammalia","Carnivora","Mustelidae","Martes"
"19","Sciurus vulgaris","Mammalia","Rodentia","Sciuridae","Sciurus"
"20","Felis silvestris","Mammalia","Carnivora","Felidae","Felis"
"21","Coronella austriaca","Reptilia","Squamata","Colubridae","Coronella"
"22","Bufo bufo","Amphibia","Anura","Bufonidae","Bufo"
"23","Hierophis viridiflavus","Reptilia","Squamata","Colubridae","Hierophis"
"24","Podarcis muralis","Reptilia","Squamata","Lacertidae","Podarcis"
"25","Rana temporaria","Amphibia","Anura","Ranidae","Rana"
"26","Vipera aspis","Reptilia","Squamata","Viperidae","Vipera"
"27","Numenius arquata","Aves","Charadriiformes","Scolopacidae","Numenius"
"28","Tringa nebularia","Aves","Charadriiformes","Scolopacidae","Tringa"
"29","Mustela putorius","Mammalia","Carnivora","Mustelidae","Mustela"
"30","Tringa totanus","Aves","Charadriiformes","Scolopacidae","Tringa"
"31","Lagopus muta","Aves","Galliformes","Phasianidae","Lagopus"
"32","Rallus aquaticus","Aves","Gruiformes","Rallidae","Rallus"
"33","Meles meles","Mammalia","Carnivora","Mustelidae","Meles"
"34","Meles meles","Mammalia","Carnivora","Mustelidae","Meles"
"35","Clamator glandarius","Aves","Cuculiformes","Cuculidae","Clamator"
"36","Marmota marmota","Mammalia","Rodentia","Sciuridae","Marmota"
"37","Genetta genetta","Mammalia","Carnivora","Viverridae","Genetta"
"38","Mustela nivalis","Mammalia","Carnivora","Mustelidae","Mustela"
"39","Natrix natrix","Reptilia","Squamata","Colubridae","Natrix"
"40","Microtus arvalis","Mammalia","Rodentia","Cricetidae","Microtus"
"41","Sorex minutus","Mammalia","Soricomorpha","Soricidae","Sorex"
"42","Carduelis citrinella","Aves","Passeriformes","Fringillidae","Carduelis"
"43","Aegolius funereus","Aves","Strigiformes","Strigidae","Aegolius"
"44","Gallinago gallinago","Aves","Charadriiformes","Scolopacidae","Gallinago"
"45","Certhia familiaris","Aves","Passeriformes","Certhiidae","Certhia"
"46","Coloeus monedula","Aves","Passeriformes","Corvidae","Coloeus"
"47","Neomys fodiens","Mammalia","Soricomorpha","Soricidae","Neomys"
"48","Oryctolagus cuniculus","Mammalia","Lagomorpha","Leporidae","Oryctolagus"
"49","Eliomys quercinus","Mammalia","Rodentia","Gliridae","Eliomys"
"50","Glis glis","Mammalia","Rodentia","Gliridae","Glis"
"51","Lepus europaeus","Mammalia","Lagomorpha","Leporidae","Lepus"
"52","Lepus europaeus","Mammalia","Lagomorpha","Leporidae","Lepus"
"53","Chionomys nivalis","Mammalia","Rodentia","Cricetidae","Chionomys"
"54","Microtus agrestis","Mammalia","Rodentia","Cricetidae","Microtus"
"55","Lacerta agilis","Reptilia","Squamata","Lacertidae","Lacerta"
"56","Erinaceus europaeus","Mammalia","Erinaceomorpha","Erinaceidae","Erinaceus"
"57","Perdix perdix","Aves","Galliformes","Phasianidae","Perdix"
"58","Tetrao urogallus","Aves","Galliformes","Phasianidae","Tetrao"
"59","Chroicocephalus ridibundus","Aves","Charadriiformes","Laridae","Chroicocephalus"
"60","Anas crecca","Aves","Anseriformes","Anatidae","Anas"
"61","Pyrrhocorax graculus","Aves","Passeriformes","Corvidae","Pyrrhocorax"
"62","Myodes glareolus","Mammalia","Rodentia","Cricetidae","Myodes"
"63","Tyto alba","Aves","Strigiformes","Tytonidae","Tyto"
"64","Bubo bubo","Aves","Strigiformes","Strigidae","Bubo"
"65","Circus pygargus","Aves","Accipitriformes","Accipitridae","Circus"
"66","Cisticola juncidis","Aves","Passeriformes","Cisticolidae","Cisticola"
"67","Emberiza schoeniclus","Aves","Passeriformes","Emberizidae","Emberiza"
"68","Vanellus vanellus","Aves","Charadriiformes","Charadriidae","Vanellus"
"69","Saxicola rubetra","Aves","Passeriformes","Muscicapidae","Saxicola"
"70","Scolopax rusticola","Aves","Charadriiformes","Scolopacidae","Scolopax"
"71","Tarentola mauritanica","Reptilia","Squamata","Phyllodactylidae","Tarentola"
"72","Burhinus oedicnemus","Aves","Charadriiformes","Burhinidae","Burhinus"
"73","Fulica atra","Aves","Gruiformes","Rallidae","Fulica"
"74","Anthus spinoletta","Aves","Passeriformes","Motacillidae","Anthus"
"75","Regulus regulus","Aves","Passeriformes","Regulidae","Regulus"
"76","Turdus pilaris","Aves","Passeriformes","Turdidae","Turdus"
"77","Capreolus capreolus","Mammalia","Artiodactyla","Cervidae","Capreolus"
"78","Emberiza citrinella","Aves","Passeriformes","Emberizidae","Emberiza"
"79","Accipiter gentilis","Aves","Accipitriformes","Accipitridae","Accipiter"
"80","Anthus pratensis","Aves","Passeriformes","Motacillidae","Anthus"
"81","Coccothraustes coccothraustes","Aves","Passeriformes","Fringillidae","Coccothraustes"
"82","Chalcides striatus","Reptilia","Squamata","Scincidae","Chalcides"
"83","Sylvia communis","Aves","Passeriformes","Sylviidae","Sylvia"
"84","Spinus spinus","Aves","Passeriformes","Fringillidae","Spinus"
"85","Phoenicurus phoenicurus","Aves","Passeriformes","Muscicapidae","Phoenicurus"
"86","Zamenis scalaris","Reptilia","Squamata","Colubridae","Zamenis"
"87","Hypsugo savii","Mammalia","Chiroptera","Vespertilionidae","Hypsugo"
"88","Asio otus","Aves","Strigiformes","Strigidae","Asio"
"89","Sturnus unicolor","Aves","Passeriformes","Sturnidae","Sturnus"
"90","Mus spretus","Mammalia","Rodentia","Muridae","Mus"
"91","Pipistrellus kuhlii","Mammalia","Chiroptera","Vespertilionidae","Pipistrellus"
"92","Turdus iliacus","Aves","Passeriformes","Turdidae","Turdus"
"93","Rattus norvegicus","Mammalia","Rodentia","Muridae","Rattus"
"94","Cinclus cinclus","Aves","Passeriformes","Cinclidae","Cinclus"
