"Taxa (species, family or order)",Common name,"Node
no.","IUCN
status","No.
trophic
links","Known non-trophic
interactions"
-,Resource: Decaying material,1,-,17,
-,Resource: Plant juices,2,-,4,
-,Resource: Fruits and nectar,3,-,21,
-,"Resource: Grains, seeds",4,-,20,
-,Resource: Grass and herbs,5,-,16,
-,Resource: Crops *,6,-,(6),
-,Resource: Trees and shrubs,7,-,16,
Thripidae,Thrips,8,NE,4,
Coleoptera,Rove- and ground beetles,9,NE,31,
Heteroptera,Carnivorous true bugs,,NE,,
"Diptera, Asilidae",Robberflies,,NE,,
"Araneae, Araneidae",Orb-weaver spiders,10,NE,23,
"Araneae, Thomisidae",Crab spiders,,NE,,
"Araneae, Lycosidae",Wolf spiders,,NE,,
"Hymenoptera, Formicidae",Ants,11,NE,19,"Group: Ecosystem
engineers"
Hodotermes sp.,Harvester termites,12,NE,19,"Group: Ecosystem
engineers"
Odontotermes badius,Common fungus-growing termites,,NE,,
Macrotermes subhyalinus,Large fungus-growing termites,,NE,,
Microcerotermes sp.,Common nest termites,,NE,,
Trinervitermes sp.,Snouted harverster termites,,NE,,
Diptera,Flies,13,NE,21,
"Hymenoptera, Apidae",Bees,,NE,,
Neuroptera,Adult lacewings,,NE,,
Lepidoptera,Butterflies,,NE,,
Lepidoptera,Moths,,NE,,
"Orthoptera, Gryllidae",Crickets,14,NE,35,
Homoptera,Planthoppers,,NE,,
Coleoptera,Dung beetles,,NE,"Group: Ecosystem
engineers",
Coleoptera,Weevils,,NE,,
Lepidoptera,Caterpillars,,NE,,
Phasmatodea,Stick insects,,NE,,
"Orthoptera, Caelifera",Grasshoppers,,NE,,
Heteroptera,Herbivorous true bugs,15,NE,14,
"Orthoptera, Tettigoniidae",Katydids,16,NE,18,
"Mantodea, Mantidae",Preying mantids,17,NE,6,
Chilopoda,Centipedes,18,NE,11,
"Dictyoptera, Blattodea",Cockroaches,19,NE,7,
Phrynobatrachus mababiensis,Dwarf Puddle Frog,20,LC,24,
Afrixalus stuhlmanni,Grassland Dwarf Leaf-folding Frog,,LC,,
Hyperolius nasutus,Sharp-nosed / Long Reed Frog,,LC,,
Afrixalus quadrivittatus,Striped Leaf-folding Frog,,LC,,
Hyperolius glandicolor,Common Reed Frog,,LC,,
Phrynobatrachus acridoides,Coast Puddle Frog,,LC,,
Hemisus marmoratus,Marbled Snout-burrower,,LC,,
Phrynomantis bifasciatus,Red-banded Rubber Frog,,LC,,
Kassina senegalensis,Senegal Kassina,,LC,,
Leptopelis bocagii,Bocage's Burrowing Tree Frog,,LC,,
Ptychadena anchietae,Anchieta's Rocket Frog,,LC,,
Bufo gutturalis,Guttural Toad,,LC,,
Amnirana galamensis,Galam White-lipped Frog,,LC,,
Schismaderma carens,Red-backed Toad,,LC,,
Ptychadena mascareniensis,Mascarene Rocket Frog,,LC,,
Diplopoda,Millipedes,21,NE,22,
Gastropoda,Land slugs and snails,,NE,,
Gastropoda,Aquatic snails,,NE,,
Crocidura sp.,Shrew,22,LC,17,
Pipistrellus nanus,Banana pipistrelle,23,LC,2,
Coleura afra,African Sheath-tailed bat,,LC,,
Eptesicus tenuipinnis,White-winged serotine,,LC,,
Kerivoula lanosa harrisoni,Lesser woolly bat,,LC,,
Myotis bocagii,Rufous mouse-eared bat,,LC,,
Nycticeius schlieffeni,Schlieffen's Twilight bat,,LC,,
Nycteris hispida,Hairy slit-faced bat,,LC,,
Scotoecus albofuscus,Light-winged lesser house bat,,DD,,
Mimetillus moloneyi,Moloney's Flat-headed bat,,LC,,
Myotis tricolor,Cape hairy bat,,LC,,
Laephotis wintoni,De Winton's Long-eared bat,,LC,,
Nycteris macrotis macrotis,Large-eared slit-faced bat,,LC,,
Tadarida pumila,Chaerephon Free-tailed bat,,LC,,
Glauconycteris variegatus,Butterfly bat,,LC,,
Eptesicus rendalli,Rendall's Serotine,,LC,,
Nycteris macrotis aethiopica,Large-eared slit-faced bat,,LC,,
Miniopterus inflatus,Greater Long-fingered bat,,LC,,
Pipistrellus rueppelli,Rüppel's pipistrelle,,LC,,
Nycticeius hirundo,Dark-winged lesser house bats,,LC,,
Kerivoula argentata,Damara woolly bat,,LC,,
Nycteris thebaica,Egyptian slit-faced bat,,LC,,
Glauconycteris argentata,Silvered bat,,LC,,
Taphozous mauritianus,Mauritian tomb bat,,LC,,
Tadarida major,Lappet-eared Free-tailed bat,,LC,,
Tadarida bemmeleni cistura,Gland-tailed Free-tailed bat,,LC,,
Cardioderma cor,Heart-nosed bat,,LC,,
Scotophilus leucogaster,White-bellied yellow bat,,LC,,
Scotophilus nigrita,Schreber’s yellow bat,,LC,,
Lavia frons,Yellow-winged bat,,LC,,
Otomops martiensseni,Large-eared free-tailed bat,,NT,,
Tadarida condylura,Angolan free-tailed bat,,LC,,
Taphozous nudiventris,Naked-rumped Tomb bat,,LC,,
Tadarida africana,African giant free-tailed bat,,DD,,
Hipposideros caffer,African Leaf-nosed bat,,LC,,
