"","Species.ID","ITIS.code","Catalogue.of.Life","Class","Order","Family","Species","Author","synonym1","synonym2","synonym3"
"1","A1",662323,"v1.9 rev 2126ab0","Amphibia","Anura","Alytidae","Alytes cisternasii","Bosc, 1879Ê","Ammoryctis cisternasii",NA,NA
"2","A2",662324,"v1.9 rev 2126ab0","Amphibia","Anura","Alytidae","Alytes dickhilleni","Arntzen and Garca-Pars, 1995Ê",NA,NA,NA
"3","A3",662326,"v1.9 rev 2126ab0","Amphibia","Anura","Alytidae","Alytes muletensis","(Sanchz and Adrover, 1979)Ê","Baleaphryne muletensis","Baleaphryne talaioticus",NA
"4","A4",662327,"v1.9 rev 2126ab0","Amphibia","Anura","Alytidae","Alytes obstetricans","(Laurenti, 1768)Ê","Bufo obstetricans","Bombinator obstetricans","Rana obstetricans"
"5","A5",661625,"v1.9 rev 2126ab0","Amphibia","Anura","Bombinatoridae","Bombina bombina","(Linnaeus, 1761)Ê","Rana bombina","Bufo igneus","Buffo ignicolor"
"6","A6",661631,"v1.9 rev 2126ab0","Amphibia","Anura","Bombinatoridae","Bombina pachypus","(Bonaparte, 1838)Ê",NA,NA,NA
"7","A7",661632,"v1.9 rev 2126ab0","Amphibia","Anura","Bombinatoridae","Bombina variegata","(Linnaeus, 1758)Ê","Rana variegata","Bufo salsus","Rana sonans"
"8","A8",173480,"v1.9 rev 2126ab0","Amphibia","Anura","Bufonidae","Bufo bufo","(Linnaeus, 1758)Ê","Rana bufo","Rana rubeta","Rana ventricosa"
"9","A9",773560,"v1.9 rev 2126ab0","Amphibia","Anura","Bufonidae","Epidalea calamita","(Laurenti, 1768)Ê","Bufo calamita","Rana foetidissima","Rana portentosa"
"10","A10",585630,"v1.9 rev 2126ab0","Amphibia","Anura","Bufonidae","Bufo verrucosissimus","(Pallas, 1814)Ê","Rana verrucosissimus","Bufo colchicus","Bufo cinereus colchica"
"11","A11",1103405,"v1.9 rev 2126ab0","Amphibia","Anura","Bufonidae","Bufotes viridis","(Laurenti, 1768)Ê","Bufo viridis","Pseudepidalea viridis","Bufo schreberianus"
"12","A12",668361,"v1.9 rev 2126ab0","Amphibia","Caudata","Salamandridae","Chioglossa lusitanica","Bocage, 1864Ê","Chioglossa lusitanica brevidigitata","Chioglossa lusitanica lusitanica","Chioglossa lusitanica longipes"
"13","A13",662328,"v1.9 rev 2126ab0","Amphibia","Anura","Alytidae","Discoglossus galganoi","Capula, Nascetti, Lanza, Bullini and Crespo, 1985Ê","Discoglossus hispanicus","Discoglossus galganoi galganoi",NA
"14","A14",662329,"v1.9 rev 2126ab0","Amphibia","Anura","Alytidae","Discoglossus jeanneae","Busack, 1986Ê","Discoglossus galganoi jeanneae",NA,NA
"15","A15",773324,"v1.9 rev 2126ab0","Amphibia","Anura","Alytidae","Discoglossus montalentii","Lanza, Nascetti, Capula and Bullini, 1984Ê","Discoglossus montalenti",NA,NA
