"","usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","synonym","class","acceptedUsageKey"
"1",2427610,"Acris blanchardi Harper, 1947","Acris blanchardi","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Hylidae","Acris","Acris blanchardi",1,44,131,952,6735,2427609,2427610,FALSE,"Amphibia",NA
"2",2431199,"Desmognathus ochrophaeus Cope, 1859","Desmognathus ochrophaeus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Plethodontidae","Desmognathus","Desmognathus ochrophaeus",1,44,131,953,6748,2431198,2431199,FALSE,"Amphibia",NA
"3",2431485,"Plethodon idahoensis Slater & Slipp, 1940","Plethodon idahoensis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Plethodontidae","Plethodon","Plethodon idahoensis",1,44,131,953,6748,2431477,2431485,FALSE,"Amphibia",NA
"4",2429805,"Ascaphus montanus Mittleman & Myers, 1949","Ascaphus montanus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Ascaphidae","Ascaphus","Ascaphus montanus",1,44,131,952,4287318,2429803,2429805,FALSE,"Amphibia",NA
"5",2427616,"Acris crepitans Baird, 1854","Acris crepitans","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Hylidae","Acris","Acris crepitans",1,44,131,952,6735,2427609,2427616,FALSE,"Amphibia",NA
"6",2432022,"Dicamptodon tenebrosus (Baird & Girard, 1852)","Dicamptodon tenebrosus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Ambystomatidae","Dicamptodon","Dicamptodon tenebrosus",1,44,131,953,3101,2432019,2432022,FALSE,"Amphibia",NA
"7",2431716,"Aneides ferreus Cope, 1869","Aneides ferreus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Plethodontidae","Aneides","Aneides ferreus",1,44,131,953,6748,2431705,2431716,FALSE,"Amphibia",NA
"8",10863553,"Dryophytes chrysoscelis (Cope, 1880)","Dryophytes chrysoscelis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Hylidae","Dryophytes","Dryophytes chrysoscelis",1,44,131,952,6735,4816258,10863553,FALSE,"Amphibia",NA
"9",2422882,"Anaxyrus cognatus (Say, 1822)","Anaxyrus cognatus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Bufonidae","Anaxyrus","Anaxyrus cognatus",1,44,131,952,6727,2422857,2422882,FALSE,"Amphibia",NA
"10",2431423,"Gyrinophilus porphyriticus (Green, 1827)","Gyrinophilus porphyriticus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Plethodontidae","Gyrinophilus","Gyrinophilus porphyriticus",1,44,131,953,6748,2431422,2431423,FALSE,"Amphibia",NA
"11",2426776,"Rana pretiosa Baird & Girard, 1853","Rana pretiosa","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Ranidae","Rana","Rana pretiosa",1,44,131,952,6746,2422253,2426776,FALSE,"Amphibia",NA
"12",2431973,"Ambystoma texanum (Matthes, 1855)","Ambystoma texanum","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Ambystomatidae","Ambystoma","Ambystoma texanum",1,44,131,953,3101,2431549,2431973,FALSE,"Amphibia",NA
"13",10894772,"Ambystoma unisexual","Ambystoma unisexual","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Ambystomatidae","Ambystoma","Ambystoma unisexual",1,44,131,953,3101,2431549,10894772,FALSE,"Amphibia",NA
"14",2429791,"Spea intermontana (Cope, 1883)","Spea intermontana","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Scaphiopodidae","Spea","Spea intermontana",1,44,131,952,3098,2429782,2429791,FALSE,"Amphibia",NA
"15",2429804,"Ascaphus truei Stejneger, 1899","Ascaphus truei","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Ascaphidae","Ascaphus","Ascaphus truei",1,44,131,952,4287318,2429803,2429804,FALSE,"Amphibia",NA
"16",2431666,"Hemidactylium scutatum (Temminck, 1838)","Hemidactylium scutatum","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Plethodontidae","Hemidactylium","Hemidactylium scutatum",1,44,131,953,6748,2431665,2431666,FALSE,"Amphibia",NA
"17",2431643,"Ensatina eschscholtzii Gray, 1850","Ensatina eschscholtzii","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Plethodontidae","Ensatina","Ensatina eschscholtzii",1,44,131,953,6748,2431642,2431643,FALSE,"Amphibia",NA
"18",2422905,"Anaxyrus fowleri (Hinckley, 1882)","Anaxyrus fowleri","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Bufonidae","Anaxyrus","Anaxyrus fowleri",1,44,131,952,6727,2422857,2422905,FALSE,"Amphibia",NA
"19",2431224,"Desmognathus fuscus (Rafinesque, 1820)","Desmognathus fuscus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Plethodontidae","Desmognathus","Desmognathus fuscus",1,44,131,953,6748,2431198,2431224,FALSE,"Amphibia",NA
"20",2431710,"Aneides vagrans Wake & Jackman, 1999","Aneides vagrans","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Plethodontidae","Aneides","Aneides vagrans",1,44,131,953,6748,2431705,2431710,FALSE,"Amphibia",NA
"21",2432048,"Necturus maculosus (Rafinesque, 1818)","Necturus maculosus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Proteidae","Necturus","Necturus maculosus",1,44,131,953,6749,2432045,2432048,FALSE,"Amphibia",NA
"22",2431993,"Ambystoma tigrinum (Green, 1825)","Ambystoma tigrinum","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Ambystomatidae","Ambystoma","Ambystoma tigrinum",1,44,131,953,3101,2431549,2431993,FALSE,"Amphibia",NA
"23",2431978,"Ambystoma mavortium Baird, 1850","Ambystoma mavortium","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Ambystomatidae","Ambystoma","Ambystoma mavortium",1,44,131,953,3101,2431549,2431978,FALSE,"Amphibia",NA
"24",2431514,"Plethodon vehiculum (Cooper, 1860)","Plethodon vehiculum","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Plethodontidae","Plethodon","Plethodon vehiculum",1,44,131,953,6748,2431477,2431514,FALSE,"Amphibia",NA
"25",2431998,"Ambystoma gracile (Baird, 1859)","Ambystoma gracile","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Ambystomatidae","Ambystoma","Ambystoma gracile",1,44,131,953,3101,2431549,2431998,FALSE,"Amphibia",NA
"26",2426808,"Rana aurora Baird & Girard, 1852","Rana aurora","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Ranidae","Rana","Rana aurora",1,44,131,952,6746,2422253,2426808,FALSE,"Amphibia",NA
"27",2426785,"Rana luteiventris Thompson, 1913","Rana luteiventris","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Ranidae","Rana","Rana luteiventris",1,44,131,952,6746,2422253,2426785,FALSE,"Amphibia",NA
"28",2431965,"Ambystoma macrodactylum Baird, 1850","Ambystoma macrodactylum","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Ambystomatidae","Ambystoma","Ambystoma macrodactylum",1,44,131,953,3101,2431549,2431965,FALSE,"Amphibia",NA
"29",2431962,"Ambystoma jeffersonianum (Green, 1827)","Ambystoma jeffersonianum","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Ambystomatidae","Ambystoma","Ambystoma jeffersonianum",1,44,131,953,3101,2431549,2431962,FALSE,"Amphibia",NA
"30",2428141,"Pseudacris triseriata (Wied-Neuwied, 1838)","Pseudacris triseriata","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Hylidae","Pseudacris","Pseudacris triseriata",1,44,131,952,6735,2428124,2428141,FALSE,"Amphibia",NA
"31",2431920,"Taricha granulosa (Skilton, 1849)","Taricha granulosa","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Salamandridae","Taricha","Taricha granulosa",1,44,131,953,6750,2431912,2431920,FALSE,"Amphibia",NA
"32",2429789,"Spea bombifrons (Cope, 1863)","Spea bombifrons","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Scaphiopodidae","Spea","Spea bombifrons",1,44,131,952,3098,2429782,2429789,FALSE,"Amphibia",NA
"33",2427056,"Lithobates palustris (LeConte, 1825)","Lithobates palustris","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Ranidae","Lithobates","Lithobates palustris",1,44,131,952,6746,2427046,2427056,FALSE,"Amphibia",NA
"34",2422941,"Anaxyrus hemiophrys (Cope, 1886)","Anaxyrus hemiophrys","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Bufonidae","Anaxyrus","Anaxyrus hemiophrys",1,44,131,952,6727,2422857,2422941,FALSE,"Amphibia",NA
"35",5218376,"Eurycea bislineata (Green, 1818)","Eurycea bislineata","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Plethodontidae","Eurycea","Eurycea bislineata",1,44,131,953,6748,5218343,5218376,FALSE,"Amphibia",NA
"36",2428132,"Pseudacris regilla (Baird & Girard, 1852)","Pseudacris regilla","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Hylidae","Pseudacris","Pseudacris regilla",1,44,131,952,6735,2428124,2428132,FALSE,"Amphibia",NA
"37",5218390,"Notophthalmus viridescens (Rafinesque, 1820)","Notophthalmus viridescens","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Salamandridae","Notophthalmus","Notophthalmus viridescens",1,44,131,953,6750,3241039,5218390,FALSE,"Amphibia",NA
"38",2428169,"Pseudacris maculata (Agassiz, 1850)","Pseudacris maculata","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Hylidae","Pseudacris","Pseudacris maculata",1,44,131,952,6735,2428124,2428169,FALSE,"Amphibia",NA
"39",2431951,"Ambystoma maculatum (Shaw, 1802)","Ambystoma maculatum","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Ambystomatidae","Ambystoma","Ambystoma maculatum",1,44,131,953,3101,2431549,2431951,FALSE,"Amphibia",NA
"40",2427047,"Lithobates septentrionalis (Baird, 1854)","Lithobates septentrionalis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Ranidae","Lithobates","Lithobates septentrionalis",1,44,131,952,6746,2427046,2427047,FALSE,"Amphibia",NA
"41",2422924,"Anaxyrus boreas (Baird & Girard, 1852)","Anaxyrus boreas","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Bufonidae","Anaxyrus","Anaxyrus boreas",1,44,131,952,6727,2422857,2422924,FALSE,"Amphibia",NA
"42",2432014,"Ambystoma laterale Hallowell, 1856","Ambystoma laterale","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Ambystomatidae","Ambystoma","Ambystoma laterale",1,44,131,953,3101,2431549,2432014,FALSE,"Amphibia",NA
"43",10806364,"Dryophytes versicolor (LeConte, 1825)","Dryophytes versicolor","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Hylidae","Dryophytes","Dryophytes versicolor",1,44,131,952,6735,4816258,10806364,FALSE,"Amphibia",NA
"44",2431491,"Plethodon cinereus (Green, 1818)","Plethodon cinereus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Caudata","Plethodontidae","Plethodon","Plethodon cinereus",1,44,131,953,6748,2431477,2431491,FALSE,"Amphibia",NA
"45",2428182,"Pseudacris crucifer (Wied-Neuwied, 1838)","Pseudacris crucifer","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Hylidae","Pseudacris","Pseudacris crucifer",1,44,131,952,6735,2428124,2428182,FALSE,"Amphibia",NA
"46",2427091,"Lithobates catesbeianus (Shaw, 1802)","Lithobates catesbeianus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Ranidae","Lithobates","Lithobates catesbeianus",1,44,131,952,6746,2427046,2427091,FALSE,"Amphibia",NA
"47",2427072,"Lithobates sylvaticus (LeConte, 1825)","Lithobates sylvaticus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Ranidae","Lithobates","Lithobates sylvaticus",1,44,131,952,6746,2427046,2427072,FALSE,"Amphibia",NA
"48",2422872,"Anaxyrus americanus (Holbrook, 1836)","Anaxyrus americanus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Bufonidae","Anaxyrus","Anaxyrus americanus",1,44,131,952,6727,2422857,2422872,FALSE,"Amphibia",NA
"49",2427185,"Lithobates pipiens (Schreber, 1782)","Lithobates pipiens","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Ranidae","Lithobates","Lithobates pipiens",1,44,131,952,6746,2427046,2427185,FALSE,"Amphibia",NA
"50",2427172,"Lithobates clamitans (Latreille, 1801)","Lithobates clamitans","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Anura","Ranidae","Lithobates","Lithobates clamitans",1,44,131,952,6746,2427046,2427172,FALSE,"Amphibia",NA
"51",2435996,"Sorex preblei Jackson, 1922","Sorex preblei","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Soricomorpha","Soricidae","Sorex","Sorex preblei",1,44,359,803,5534,2435935,2435996,FALSE,"Mammalia",NA
"52",5218548,"Lasiurus blossevillii (Lesson & Garnot, 1826)","Lasiurus blossevillii","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Chiroptera","Vespertilionidae","Lasiurus","Lasiurus blossevillii",1,44,359,734,9368,2432584,5218548,FALSE,"Mammalia",NA
"53",2432339,"Antrozous pallidus (LeConte, 1856)","Antrozous pallidus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Chiroptera","Vespertilionidae","Antrozous","Antrozous pallidus",1,44,359,734,9368,2432337,2432339,FALSE,"Mammalia",NA
"54",2436037,"Sorex maritimensis Smith, 1939","Sorex maritimensis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Soricomorpha","Soricidae","Sorex","Sorex maritimensis",1,44,359,803,5534,2435935,2436037,FALSE,"Mammalia",NA
"55",2432399,"Myotis thysanodes Miller, 1897","Myotis thysanodes","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Chiroptera","Vespertilionidae","Myotis","Myotis thysanodes",1,44,359,734,9368,2432384,2432399,FALSE,"Mammalia",NA
"56",2436067,"Sorex dispar Batchelder, 1911","Sorex dispar","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Soricomorpha","Soricidae","Sorex","Sorex dispar",1,44,359,803,5534,2435935,2436067,FALSE,"Mammalia",NA
"57",2439378,"Geomys bursarius (Shaw, 1800)","Geomys bursarius","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Rodentia","Geomyidae","Geomys","Geomys bursarius",1,44,359,1459,9437,2439369,2439378,FALSE,"Mammalia",NA
"58",4266342,"Myotis melanorhinus (Merriam, 1890)","Myotis melanorhinus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Chiroptera","Vespertilionidae","Myotis","Myotis melanorhinus",1,44,359,734,9368,2432384,4266342,FALSE,"Mammalia",NA
"59",5219509,"Cryptotis parva (Say, 1823)","Cryptotis parva","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Soricomorpha","Soricidae","Cryptotis","Cryptotis parva",1,44,359,803,5534,2435817,5219509,FALSE,"Mammalia",NA
"60",2435999,"Sorex gaspensis Anthony & Goodwin, 1924","Sorex gaspensis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Soricomorpha","Soricidae","Sorex","Sorex gaspensis",1,44,359,803,5534,2435935,2435999,FALSE,"Mammalia",NA
"61",2438387,"Dicrostonyx nunatakensis Youngman, 1967","Dicrostonyx nunatakensis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Rodentia","Cricetidae","Dicrostonyx","Dicrostonyx nunatakensis",1,44,359,1459,3240723,2438382,2438387,FALSE,"Mammalia",NA
"62",2436191,"Scapanus townsendii (Bachman, 1839)","Scapanus townsendii","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Soricomorpha","Talpidae","Scapanus","Scapanus townsendii",1,44,359,803,9469,2436187,2436191,FALSE,"Mammalia",NA
"63",2437874,"Reithrodontomys megalotis (Baird, 1857)","Reithrodontomys megalotis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Rodentia","Cricetidae","Reithrodontomys","Reithrodontomys megalotis",1,44,359,1459,3240723,2437854,2437874,FALSE,"Mammalia",NA
"64",2434831,"Spilogale putorius (Linnaeus, 1758)","Spilogale putorius","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Carnivora","Mephitidae","Spilogale","Spilogale putorius",1,44,359,732,9679,2434820,2434831,FALSE,"Mammalia",NA
"65",2441022,"Bos taurus Linnaeus, 1758","Bos taurus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Artiodactyla","Bovidae","Bos","Bos taurus",1,44,359,731,9614,2441017,2441022,FALSE,"Mammalia",NA
"66",2434835,"Spilogale gracilis Merriam, 1890","Spilogale gracilis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Carnivora","Mephitidae","Spilogale","Spilogale gracilis",1,44,359,732,9679,2434820,2434835,FALSE,"Mammalia",NA
"67",5219290,"Vulpes velox (Say, 1823)","Vulpes velox","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Carnivora","Canidae","Vulpes","Vulpes velox",1,44,359,732,9701,5219234,5219290,FALSE,"Mammalia",NA
"68",2434566,"Urocyon cinereoargenteus (Schreber, 1775)","Urocyon cinereoargenteus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Carnivora","Canidae","Urocyon","Urocyon cinereoargenteus",1,44,359,732,9701,2434558,2434566,FALSE,"Mammalia",NA
"69",2432456,"Myotis ciliolabrum (Merriam, 1886)","Myotis ciliolabrum","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Chiroptera","Vespertilionidae","Myotis","Myotis ciliolabrum",1,44,359,734,9368,2432384,2432456,FALSE,"Mammalia",NA
"70",2436230,"Scalopus aquaticus (Linnaeus, 1758)","Scalopus aquaticus","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Soricomorpha","Talpidae","Scalopus","Scalopus aquaticus",1,44,359,803,9469,2436229,2436230,FALSE,"Mammalia",NA
"71",2436089,"Sorex ugyunak Anderson & Rand, 1945","Sorex ugyunak","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Soricomorpha","Soricidae","Sorex","Sorex ugyunak",1,44,359,803,5534,2435935,2436089,FALSE,"Mammalia",NA
"72",2437365,"Marmota vancouverensis Swarth, 1911","Marmota vancouverensis","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Rodentia","Sciuridae","Marmota","Marmota vancouverensis",1,44,359,1459,9456,2437364,2437365,FALSE,"Mammalia",NA
"73",2432455,"Myotis leibii (Audubon & Bachman, 1842)","Myotis leibii","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Chiroptera","Vespertilionidae","Myotis","Myotis leibii",1,44,359,734,9368,2432384,2432455,FALSE,"Mammalia",NA
"74",2436038,"Sorex bendirii (Merriam, 1884)","Sorex bendirii","SPECIES","ACCEPTED",100,"EXACT","Animalia","Chordata","Soricomorpha","Soricidae","Sorex","Sorex bendirii",1,44,359,803,5534,2435935,2436038,FALSE,"Mammalia",NA
