"","role","sourceFW","estimate_(Intercept)_serengeti","std.error_(Intercept)_serengeti","estimate_(Intercept)_pyrenees","std.error_(Intercept)_pyrenees","insample","estimate_empirical_europe","estimate_(Intercept)_arctic","std.error_(Intercept)_arctic","estimate_empirical_serengeti","std.error_empirical_serengeti","estimate_empirical_pyrenees","std.error_empirical_pyrenees","estimate_(Intercept)_europe","std.error_(Intercept)_europe","estimate_empirical_arctic","std.error_empirical_arctic","r.squared_serengeti","r.squared_pyrenees","std.error_empirical_europe","r.squared_arctic"
"1","OI","arctic",NA,NA,NA,NA,"within food web",NA,68.8604184637942,3.69605918673937,NA,NA,NA,NA,NA,NA,129.068157460105,43.7719170322316,NA,NA,NA,0.0435392430505308
"2","OI","arctic",76.1392716008594,3.08147584893765,104.321208637911,5.16599405884677,"between food webs",2792.0415486876,NA,NA,9.25008951704088,13.1414397428228,112.93618201956,94.4265212654907,441.889637613197,24.8154276703971,NA,NA,0.00167104417858073,0.00731957643269469,649.066865248693,NA
"3","OI","europe",1.80783726683195,0.0862008375982315,2.36919018530557,0.106517655313439,"between food webs",NA,2.72527449829176,0.127154346631861,3.02116504108927,0.36761706682483,2.5277703126835,1.9469808772583,NA,NA,1.15443276437612,1.50587131586697,0.185783018618048,0.00861376463451501,NA,0.00306756606527376
"4","OI","europe",NA,NA,NA,NA,"within food web",-46.1754273699868,NA,NA,NA,NA,NA,NA,20.7856534056274,0.227624531699498,NA,NA,NA,NA,5.95369715993819,NA
"5","OI","pyrenees",75.6298200637736,5.22148625277144,NA,NA,"between food webs",-4.86371436669557,113.217552266927,4.71455248996291,6.18370537630708,22.267851614813,NA,NA,1.09525858586572,0.0196541867306828,126.081356593432,55.8337921576441,0.000260457039954318,NA,0.514070583015368,0.0260034835083516
"6","OI","pyrenees",NA,NA,89.6455552249163,3.52092429399013,"within food web",NA,NA,NA,NA,NA,137.845421950888,64.3571457755143,NA,NA,NA,NA,NA,0.0231014312599565,NA,NA
"7","OI","serengeti",NA,NA,183309.205856174,103486.194189119,"between food webs",37485810.3293122,1095698.99327615,615908.196536868,NA,NA,8840897.58926899,1891570.37444696,353606.915648848,124974.647249121,25856340.3378471,7294115.46628033,NA,0.101205976299921,3268809.37145057,0.0617282702372894
"8","OI","serengeti",232.259129162332,45.3442799198379,NA,NA,"within food web",NA,NA,NA,931.020773389336,193.377833045057,NA,NA,NA,NA,NA,NA,0.0726223468631092,NA,NA,NA
"9","TL","arctic",NA,NA,NA,NA,"within food web",NA,64.3155775731832,0.375528852204262,NA,NA,NA,NA,NA,NA,1.04309492053215,0.269081494224304,NA,NA,NA,0.0729382431683403
"10","TL","arctic",79.9468926739088,0.36643540616508,89.1101635482039,0.439246342041068,"between food webs",0.856058971575344,NA,NA,0.945164475078815,0.208763162748717,1.04753253350935,0.328006800159767,381.795474102044,0.662316933783247,NA,NA,0.0647644023383989,0.0499476599993558,0.502172971007095,NA
"11","TL","europe",3.1341944613998,0.145914247249891,2.90260118105979,0.201975703223886,"between food webs",NA,3.50425237251084,0.19200785824805,0.765778633665431,0.083129302555066,1.35044794762201,0.150825169804809,NA,NA,0.985396643077835,0.137581336552247,0.222809613254604,0.292407993506732,NA,0.211715528424469
"12","TL","europe",NA,NA,NA,NA,"within food web",1.19541342178038,NA,NA,NA,NA,NA,NA,21.2488771420983,0.169305518740136,NA,NA,NA,NA,0.128368536295731,NA
"13","TL","pyrenees",73.0964586877114,0.211699895259801,NA,NA,"between food webs",0.320736961018658,111.540878598149,0.453184581614851,0.398538704097601,0.120608268045196,NA,NA,-0.400158399679426,0.0305481714710623,0.881722001334253,0.324724941012019,0.0355764762749705,NA,0.0231618206389962,0.0371663535172888
"14","TL","pyrenees",NA,NA,85.7284997152313,0.365974556407501,"within food web",NA,NA,NA,NA,NA,0.890825334405686,0.273291161923645,NA,NA,NA,NA,NA,0.0519248191444819,NA,NA
"15","TL","serengeti",NA,NA,7132.60608620182,152.248712803129,"between food webs",51.7999220019047,11415.2072918093,247.586948266831,NA,NA,26.1838177478435,113.69158564405,42022.4230745748,87.5129907886455,36.8752522695932,177.405985183362,NA,0.000273330967969924,66.352914057355,0.000226152748202239
"16","TL","serengeti",81.5181985934576,2.4446917945417,NA,NA,"within food web",NA,NA,NA,4.21193863491132,1.39277368504189,NA,NA,NA,NA,NA,NA,0.0299706477804966,NA,NA,NA
"17","among_module_conn","arctic",NA,NA,NA,NA,"within food web",NA,0.68227730794415,0.0034835268548922,NA,NA,NA,NA,NA,NA,0.0327648125355845,0.00762801646671183,NA,NA,NA,0.0880870650132159
"18","among_module_conn","arctic",0.615076031088831,0.00380137859191139,0.716993936435171,0.00242593912885735,"between food webs",0.0177237130570443,NA,NA,0.0616083116026621,0.00906892496604682,0.000302825134648125,0.00451302851586737,0.639233704294239,0.0014477279802528,NA,NA,0.134881096357203,2.32079015558422e-05,0.00263479484318402,NA
